"climate_type","scenario","ClimateGroup","thresh_20_IntQntRng","thresh_25_IntQntRng","thresh_30_IntQntRng","thresh_35_IntQntRng","thresh_40_IntQntRng","thresh_45_IntQntRng","thresh_50_IntQntRng","thresh_55_IntQntRng","thresh_60_IntQntRng","thresh_65_IntQntRng","thresh_70_IntQntRng","thresh_75_IntQntRng"
"Cooler Area","historical","Historical",10,9,10,12,15,22,24,23,24,22,20,20
"Cooler Area","rcp45","2040's",9,9,9,11,13,16,16,15,17,16,16,15
"Cooler Area","rcp45","2060's",9,9,10,11,13,14,15,13,14,14,14,15
"Cooler Area","rcp45","2080's",9,9,9,10,11,13,13,13,14,14,14,14
"Cooler Area","rcp85","2040's",9,10,9,10,12,16,16,16,16,17,16,17
"Cooler Area","rcp85","2060's",10,10,10,10,12,13,13,13,13,13,13,14
"Cooler Area","rcp85","2080's",9,10,10,11,11,12,12,11,12,12,11,11
"Warmer Area","historical","Historical",8,8,9,10,11,14,15,14,15,15,14,14
"Warmer Area","rcp45","2040's",9,8,9,10,11,12,12,11,12,12,11,12
"Warmer Area","rcp45","2060's",9,9,9,10,11,10,10,10,11,10,11,11
"Warmer Area","rcp45","2080's",8,8,9,9,10,11,10,10,11,10,11,11
"Warmer Area","rcp85","2040's",8,9,9,10,10,11,12,12,12,13,12,12
"Warmer Area","rcp85","2060's",9,10,10,11,11,11,10,11,10,10,11,11
"Warmer Area","rcp85","2080's",10,10,9,9,10,10,10,10,10,10,10,11
