"climate_type","scenario","ClimateGroup","thresh_20_med","thresh_25_med","thresh_30_med","thresh_35_med","thresh_40_med","thresh_45_med","thresh_50_med","thresh_55_med","thresh_60_med","thresh_65_med","thresh_70_med","thresh_75_med","thresh_20_IntQntRng","thresh_25_IntQntRng","thresh_30_IntQntRng","thresh_35_IntQntRng","thresh_40_IntQntRng","thresh_45_IntQntRng","thresh_50_IntQntRng","thresh_55_IntQntRng","thresh_60_IntQntRng","thresh_65_IntQntRng","thresh_70_IntQntRng","thresh_75_IntQntRng"
"Cooler Area","historical","Historical",61,68,76,84,93,105,120,131,142,152,160,168,10,9,10,12,15,22,24,23,24,22,20,20
"Cooler Area","rcp45","2040's",67,74,81,89,98,108,119,128,137,146,153,161,9,9,9,11,13,16,16,15,17,16,16,15
"Cooler Area","rcp45","2060's",68,75,83,91,99,109,118,127,136,144,152,159,9,9,10,11,13,14,15,13,14,14,14,15
"Cooler Area","rcp45","2080's",69,76,84,92,100,110,120,128,136,144,152,159,9,9,9,10,11,13,13,13,14,14,14,14
"Cooler Area","rcp85","2040's",68,75,82,90,99,108,119,128,137,145,153,160,9,10,9,10,12,16,16,16,16,17,16,17
"Cooler Area","rcp85","2060's",72,79,86,94,102,111,120,128,137,144,152,159,10,10,10,10,12,13,13,13,13,13,13,14
"Cooler Area","rcp85","2080's",75,82,89,97,105,113,121,128,136,143,150,157,9,10,10,11,11,12,12,11,12,12,11,11
"Warmer Area","historical","Historical",67,74,81,89,97,107,117,126,135,144,152,159,8,8,9,10,11,14,15,14,15,15,14,14
"Warmer Area","rcp45","2040's",72,80,87,95,103,112,120,128,136,144,151,158,9,8,9,10,11,12,12,11,12,12,11,12
"Warmer Area","rcp45","2060's",75,82,89,97,105,113,121,129,137,144,151,158,9,9,9,10,11,10,10,10,11,10,11,11
"Warmer Area","rcp45","2080's",76,83,90,98,106,114,122,130,137,145,152,159,8,8,9,9,10,11,10,10,11,10,11,11
"Warmer Area","rcp85","2040's",74,81,89,96,104,113,121,129,137,144,151,159,8,9,9,10,10,11,12,12,12,13,12,12
"Warmer Area","rcp85","2060's",78,85,93,100,108,116,124,131,139,146,153,160,9,10,10,11,11,11,10,11,10,10,11,11
"Warmer Area","rcp85","2080's",82,89,96,104,111,119,126,133,140,147,154,161,10,10,9,9,10,10,10,10,10,10,10,11
