"climate_type","scenario","ClimateGroup","thresh_20_IntQntRng","thresh_25_IntQntRng","thresh_30_IntQntRng","thresh_35_IntQntRng","thresh_40_IntQntRng","thresh_45_IntQntRng","thresh_50_IntQntRng","thresh_55_IntQntRng","thresh_60_IntQntRng","thresh_65_IntQntRng","thresh_70_IntQntRng","thresh_75_IntQntRng"
"Cooler Area","historical","Historical",21,20,20,20,19,19,19,18,19,18,18,18
"Cooler Area","rcp45","2040's",19,18,18,19,18,18,19,18,18,18,18,19
"Cooler Area","rcp45","2060's",19,19,19,19,20,19,19,20,19,19,20,19
"Cooler Area","rcp45","2080's",19,20,20,20,20,20,20,20,21,20,20,21
"Cooler Area","rcp85","2040's",19,20,19,19,20,19,19,20,19,20,20,19
"Cooler Area","rcp85","2060's",22,22,23,22,23,23,23,23,23,23,23,24
"Cooler Area","rcp85","2080's",24,25,25,24,25,25,25,25,26,25,25,26
"Warmer Area","historical","Historical",18,17,17,18,17,17,17,17,16,17,16,17
"Warmer Area","rcp45","2040's",19,19,19,19,19,19,19,19,20,19,19,20
"Warmer Area","rcp45","2060's",22,21,21,22,21,22,22,22,22,23,22,22
"Warmer Area","rcp45","2080's",21,21,22,21,21,21,21,22,21,22,22,21
"Warmer Area","rcp85","2040's",21,20,21,21,20,21,21,21,21,21,21,21
"Warmer Area","rcp85","2060's",25,25,25,25,25,25,25,25,25,26,25,26
"Warmer Area","rcp85","2080's",25,25,25,25,26,25,26,26,25,26,26,26
