"latitude","longitude","locationGroup"
"43.53125","-116.59375",2
"45.96875","-119.34375",2
"45.96875","-119.96875",2
"46.03125","-119.84375",2
"46.03125","-119.90625",2
"43.34375","-123.46875",3
"43.46875","-116.78125",3
"43.46875","-116.71875",3
"43.53125","-116.78125",3
"43.53125","-116.71875",3
"43.59375","-116.90625",3
"43.59375","-116.84375",2
"43.59375","-116.78125",2
"43.65625","-116.84375",2
"43.96875","-116.90625",3
"44.09375","-123.34375",3
"44.09375","-123.03125",3
"44.15625","-123.34375",3
"44.15625","-123.28125",3
"44.15625","-123.21875",3
"44.15625","-123.15625",3
"44.15625","-123.09375",3
"44.21875","-123.28125",3
"44.21875","-123.21875",3
"44.21875","-123.15625",3
"44.21875","-123.09375",3
"44.28125","-123.28125",3
"44.28125","-123.21875",3
"44.28125","-123.15625",3
"44.28125","-123.09375",3
"44.34375","-123.34375",3
"44.34375","-123.28125",3
"44.34375","-123.21875",3
"44.34375","-123.15625",3
"44.34375","-123.09375",3
"44.40625","-123.28125",3
"44.40625","-123.21875",3
"44.40625","-123.15625",3
"44.40625","-123.03125",3
"44.46875","-123.40625",3
"44.46875","-123.34375",3
"44.46875","-123.28125",3
"44.46875","-123.21875",3
"44.46875","-123.15625",3
"44.46875","-123.09375",3
"44.46875","-123.03125",3
"44.53125","-123.34375",3
"44.53125","-123.28125",3
"44.53125","-123.21875",3
"44.53125","-123.09375",3
"44.59375","-123.21875",3
"44.59375","-123.15625",3
"44.59375","-123.09375",3
"44.59375","-123.03125",3
"44.59375","-122.90625",3
"44.65625","-123.21875",3
"44.65625","-123.15625",3
"44.65625","-123.09375",3
"44.65625","-122.96875",3
"44.65625","-122.90625",3
"44.71875","-123.15625",3
"44.71875","-123.09375",3
"44.71875","-123.03125",3
"44.71875","-122.96875",3
"44.71875","-122.90625",3
"44.71875","-122.84375",3
"44.71875","-122.78125",3
"44.78125","-123.34375",3
"44.78125","-123.28125",3
"44.78125","-123.21875",3
"44.78125","-123.15625",3
"44.78125","-123.09375",3
"44.78125","-123.03125",3
"44.78125","-122.96875",3
"44.78125","-122.90625",3
"44.78125","-122.84375",3
"44.78125","-122.78125",3
"44.84375","-123.28125",3
"44.84375","-123.21875",3
"44.84375","-123.15625",3
"44.84375","-123.09375",3
"44.84375","-122.90625",3
"44.84375","-122.84375",3
"44.84375","-122.71875",3
"44.90625","-123.28125",3
"44.90625","-123.15625",3
"44.90625","-123.09375",3
"44.90625","-122.90625",3
"44.90625","-122.84375",3
"44.96875","-123.28125",3
"44.96875","-123.21875",3
"44.96875","-123.15625",3
"44.96875","-123.09375",3
"44.96875","-123.03125",3
"44.96875","-122.96875",3
"44.96875","-122.90625",3
"44.96875","-122.84375",3
"45.03125","-123.34375",3
"45.03125","-123.28125",3
"45.03125","-123.21875",3
"45.03125","-123.15625",3
"45.03125","-123.09375",3
"45.03125","-123.03125",3
"45.03125","-122.96875",3
"45.03125","-122.90625",3
"45.03125","-122.84375",3
"45.03125","-122.78125",3
"45.03125","-122.71875",3
"45.03125","-122.65625",3
"45.09375","-123.34375",3
"45.09375","-123.28125",3
"45.09375","-123.21875",3
"45.09375","-123.15625",3
"45.09375","-123.09375",3
"45.09375","-123.03125",3
"45.09375","-122.96875",3
"45.09375","-122.90625",3
"45.09375","-122.84375",3
"45.09375","-122.78125",3
"45.09375","-122.71875",3
"45.09375","-122.65625",3
"45.15625","-123.34375",3
"45.15625","-123.28125",3
"45.15625","-123.21875",3
"45.15625","-123.15625",3
"45.15625","-123.09375",3
"45.15625","-123.03125",3
"45.15625","-122.96875",3
"45.15625","-122.90625",3
"45.15625","-122.84375",3
"45.15625","-122.78125",3
"45.15625","-122.71875",3
"45.15625","-122.65625",3
"45.15625","-122.59375",3
"45.15625","-121.34375",3
"45.15625","-121.28125",3
"45.21875","-123.21875",3
"45.21875","-123.15625",3
"45.21875","-123.09375",3
"45.21875","-123.03125",3
"45.21875","-122.96875",3
"45.21875","-122.90625",3
"45.21875","-122.84375",3
"45.21875","-122.78125",3
"45.21875","-122.71875",3
"45.21875","-122.65625",3
"45.21875","-122.59375",3
"45.21875","-121.15625",3
"45.28125","-123.21875",3
"45.28125","-123.15625",3
"45.28125","-123.09375",3
"45.28125","-123.03125",3
"45.28125","-122.96875",3
"45.28125","-122.90625",3
"45.28125","-122.84375",3
"45.28125","-122.78125",3
"45.28125","-122.71875",3
"45.28125","-122.65625",3
