,county,irrig07,irrig12,irrHarv07,irrHarv12,cropland07,cropland12,pasture07,pasture12,irrig12_a,,irrigRatio12,Irrigated Crop Intensity
1214,Massachusetts\Dukes,120,205,84,129,1104,0,36,76,129,129,inf,1
1817,New Mexico\Otero,7045,5966,4033,4360,18562,0,3012,1606,4360,4360,inf,1
1855,New York\Kings,0,8,0,8,0,0,0,0,8,8,inf,1
1874,New York\Richmond,14,8,14,8,0,0,0,0,8,8,inf,1
1922,North Carolina\Dare,6,6,6,6,4747,0,0,0,6,6,inf,1
1981,North Carolina\Swain,29,19,29,19,1495,0,0,0,19,19,inf,1
2932,Virginia\York,18,22,18,22,292,0,0,0,22,22,inf,1
180,California\Inyo,32530,23832,4025,0,8261,18670,28505,0,23832,23832,1.276486342,0
80,Arizona\Greenlee,5291,5398,3381,0,6687,5226,1910,0,5398,5398,1.032912361,0
563,Idaho\Jerome,150842,148950,141106,141589,157624,148878,9736,7361,141589,141589,0.951040449,1
186,California\Madera,281658,292274,260596,282728,290683,304248,21062,9546,282728,282728,0.929268229,1
550,Idaho\Canyon,197322,225310,168981,202263,191719,217846,28341,23047,202263,202263,0.928467817,1
179,California\Imperial,376535,455033,375167,450186,396663,487892,1368,4847,450186,450186,0.922716503,1
192,California\Mono,22217,21506,8144,10480,10479,11378,14073,11026,10480,10480,0.92107576,1
570,Idaho\Minidoka,191585,204534,186664,199102,202668,217383,4921,5432,199102,199102,0.915904188,1
574,Idaho\Payette,54648,56930,39849,47033,56068,51649,14799,9897,47033,47033,0.910627505,1
1751,Nevada\Esmeralda,13739,17455,0,0,12769,19223,0,0,17455,17455,0.908026843,0
89,Arizona\Yuma,174245,181403,172143,181197,193053,200128,2102,206,181197,181197,0.90540554,1
1752,Nevada\Eureka,46241,46658,34940,44488,50875,49146,11301,2170,44488,44488,0.905221178,1
537,Idaho\Ada,56973,55254,45866,47985,66122,53441,11107,7269,47985,47985,0.897906102,1
1830,New Mexico\Valencia,20951,23106,15302,20894,25207,23428,5649,2212,20894,20894,0.891838825,1
205,California\San Joaquin,453980,485402,426670,460727,492032,517918,27310,24675,460727,460727,0.889575184,1
562,Idaho\Jefferson,210328,175347,196067,169376,225134,191074,14261,5971,169376,169376,0.886441902,1
172,California\Colusa,277332,260859,268737,252047,298996,285689,8595,8812,252047,252047,0.882242578,1
560,Idaho\Gooding,132641,141983,118200,132493,133793,150659,14441,9490,132493,132493,0.879423068,1
216,California\Stanislaus,374997,320784,297053,299331,351195,340890,77944,21453,299331,299331,0.878086773,1
324,Florida\Glades,46726,88509,39077,49320,50803,56473,7649,39189,49320,49320,0.873337701,1
1721,Nebraska\Phelps,246754,231896,245322,231332,281690,264991,1432,564,231332,231332,0.872980592,1
91,Arkansas\Arkansas,310745,314596,0,314440,359044,360246,0,156,314440,314440,0.872847998,1
1755,Nevada\Lincoln,18320,22007,15454,19528,17903,22380,2866,2479,19528,19528,0.87256479,1
217,California\Sutter,231713,244305,223199,240003,274439,275849,8514,4302,240003,240003,0.870052094,1
