"location","elevation","centroid","cluster"
"47.78125_-121.21875",1287.94,1088.65,"3"
"47.78125_-121.28125",875.43,1088.65,"3"
"47.78125_-121.34375",1263.25,1088.65,"3"
"47.78125_-121.40625",1031.64,1088.65,"3"
"47.78125_-121.46875",740.02,562.04,"2"
"47.78125_-121.53125",827.98,1088.65,"3"
"47.78125_-121.59375",869.62,1088.65,"3"
"47.78125_-121.65625",669.69,562.04,"2"
"47.78125_-121.71875",1151.12,1088.65,"3"
"47.78125_-121.78125",576.25,562.04,"2"
"47.78125_-121.84375",190.12,108.56,"1"
"47.78125_-121.90625",265.94,108.56,"1"
"47.78125_-121.96875",61.38,108.56,"1"
"47.78125_-122.03125",147.25,108.56,"1"
"47.78125_-122.09375",122,108.56,"1"
"47.78125_-122.15625",66.31,108.56,"1"
"47.78125_-122.21875",61.94,108.56,"1"
"47.78125_-122.28125",121.94,108.56,"1"
"47.78125_-122.34375",122,108.56,"1"
"47.84375_-121.15625",1496.02,1674.37,"4"
"47.84375_-121.21875",1049.38,1088.65,"3"
"47.84375_-121.28125",1195.63,1088.65,"3"
"47.84375_-121.34375",1268.07,1088.65,"3"
"47.84375_-121.40625",1403.27,1674.37,"4"
"47.84375_-121.46875",1114.62,1088.65,"3"
"47.84375_-121.53125",896.18,1088.65,"3"
"47.84375_-121.59375",469.82,562.04,"2"
"47.84375_-121.65625",98.06,108.56,"1"
"47.84375_-121.71875",101.62,108.56,"1"
"47.84375_-121.78125",113,108.56,"1"
"47.84375_-121.84375",65.5,108.56,"1"
"47.84375_-121.90625",93.18,108.56,"1"
"47.84375_-121.96875",55.94,108.56,"1"
"47.84375_-122.03125",116.75,108.56,"1"
"47.84375_-122.09375",63.25,108.56,"1"
"47.84375_-122.15625",126.5,108.56,"1"
"47.84375_-122.21875",104.88,108.56,"1"
"47.84375_-122.28125",152.38,108.56,"1"
"47.84375_-122.34375",21.44,108.56,"1"
"47.90625_-121.21875",1388.82,1674.37,"4"
"47.90625_-121.28125",959.26,1088.65,"3"
"47.90625_-121.34375",1417.31,1674.37,"4"
"47.90625_-121.40625",868.06,1088.65,"3"
"47.90625_-121.46875",616.7,562.04,"2"
"47.90625_-121.53125",1167.18,1088.65,"3"
"47.90625_-121.59375",1213.74,1088.65,"3"
"47.90625_-121.65625",1005.95,1088.65,"3"
"47.90625_-121.71875",237.06,108.56,"1"
"47.90625_-121.78125",243.94,108.56,"1"
"47.90625_-121.84375",197.56,108.56,"1"
"47.90625_-121.90625",84.13,108.56,"1"
"47.90625_-121.96875",157.75,108.56,"1"
"47.90625_-122.03125",62.81,108.56,"1"
"47.90625_-122.09375",35.5,108.56,"1"
"47.90625_-122.15625",43.25,108.56,"1"
"47.90625_-122.21875",149.19,108.56,"1"
"47.96875_-121.15625",1582.12,1674.37,"4"
"47.96875_-121.21875",1389.82,1674.37,"4"
"47.96875_-121.28125",1100.75,1088.65,"3"
"47.96875_-121.34375",1847.45,1674.37,"4"
