"location","ann_prec_mean","centroid","cluster","fips"
"47.78125_-121.21875",2318.91,2055.41,"lesser precip",53061
"47.78125_-121.28125",2568.9,2759.57,"less precip",53061
"47.78125_-121.34375",3034.53,2759.57,"less precip",53061
"47.78125_-121.40625",3285.23,3701.32,"most precip",53061
"47.78125_-121.46875",3300.53,3701.32,"most precip",53061
"47.78125_-121.53125",3048.77,2759.57,"less precip",53061
"47.78125_-121.59375",3451.69,3701.32,"most precip",53061
"47.78125_-121.65625",3328.86,3701.32,"most precip",53061
"47.78125_-121.71875",3614.37,3701.32,"most precip",53061
"47.78125_-121.78125",2501.51,2759.57,"less precip",53061
"47.78125_-121.84375",1601.1,1211.6,"least precip",53061
"47.78125_-121.90625",1516.81,1211.6,"least precip",53061
"47.78125_-121.96875",1310.66,1211.6,"least precip",53061
"47.78125_-122.03125",1273.57,1211.6,"least precip",53061
"47.78125_-122.09375",1223.33,1211.6,"least precip",53061
"47.78125_-122.15625",1092.07,1211.6,"least precip",53061
"47.78125_-122.21875",1042.72,1211.6,"least precip",53061
"47.78125_-122.28125",1027.61,1211.6,"least precip",53061
"47.78125_-122.34375",1015.58,1211.6,"least precip",53061
"47.84375_-121.15625",2341.01,2055.41,"lesser precip",53061
"47.84375_-121.21875",2379.48,2055.41,"lesser precip",53061
"47.84375_-121.28125",2575.04,2759.57,"less precip",53061
"47.84375_-121.34375",2804.98,2759.57,"less precip",53061
"47.84375_-121.40625",3324.89,3701.32,"most precip",53061
"47.84375_-121.46875",3450.07,3701.32,"most precip",53061
"47.84375_-121.53125",3493.57,3701.32,"most precip",53061
"47.84375_-121.59375",3565.74,3701.32,"most precip",53061
"47.84375_-121.65625",2284.31,2055.41,"lesser precip",53061
"47.84375_-121.71875",2183.25,2055.41,"lesser precip",53061
"47.84375_-121.78125",1753.15,2055.41,"lesser precip",53061
"47.84375_-121.84375",1437.47,1211.6,"least precip",53061
"47.84375_-121.90625",1392.56,1211.6,"least precip",53061
"47.84375_-121.96875",1288.06,1211.6,"least precip",53061
"47.84375_-122.03125",1245.32,1211.6,"least precip",53061
"47.84375_-122.09375",1193.53,1211.6,"least precip",53061
"47.84375_-122.15625",1106.47,1211.6,"least precip",53061
"47.84375_-122.21875",1039.43,1211.6,"least precip",53061
"47.84375_-122.28125",993.25,1211.6,"least precip",53061
"47.84375_-122.34375",964.21,1211.6,"least precip",53061
"47.90625_-121.21875",2699.13,2759.57,"less precip",53061
"47.90625_-121.28125",2660.13,2759.57,"less precip",53061
"47.90625_-121.34375",3003.94,2759.57,"less precip",53061
"47.90625_-121.40625",3203.39,2759.57,"less precip",53061
"47.90625_-121.46875",3565.22,3701.32,"most precip",53061
"47.90625_-121.53125",4216.05,3701.32,"most precip",53061
"47.90625_-121.59375",4254.86,3701.32,"most precip",53061
"47.90625_-121.65625",3617.83,3701.32,"most precip",53061
"47.90625_-121.71875",2489.19,2759.57,"less precip",53061
"47.90625_-121.78125",1973.5,2055.41,"lesser precip",53061
"47.90625_-121.84375",1701.27,2055.41,"lesser precip",53061
"47.90625_-121.90625",1442.31,1211.6,"least precip",53061
"47.90625_-121.96875",1412.14,1211.6,"least precip",53061
"47.90625_-122.03125",1268.01,1211.6,"least precip",53061
"47.90625_-122.09375",1129.68,1211.6,"least precip",53061
"47.90625_-122.15625",1012.67,1211.6,"least precip",53061
"47.90625_-122.21875",990.49,1211.6,"least precip",53061
"47.90625_-122.28125",920.37,1211.6,"least precip",53061
"47.96875_-121.15625",2731.09,2759.57,"less precip",53061
"47.96875_-121.21875",2931.47,2759.57,"less precip",53061
"47.96875_-121.28125",2802.95,2759.57,"less precip",53061
"47.96875_-121.34375",3222.06,2759.57,"less precip",53061
"47.96875_-121.40625",3688.04,3701.32,"most precip",53061
"47.96875_-121.46875",4257.52,3701.32,"most precip",53061
"47.96875_-121.53125",4117.52,3701.32,"most precip",53061
"47.96875_-121.59375",3646,3701.32,"most precip",53061
"47.96875_-121.65625",3469.68,3701.32,"most precip",53061
"47.96875_-121.71875",2966.57,2759.57,"less precip",53061
"47.96875_-121.78125",2612,2759.57,"less precip",53061
"47.96875_-121.84375",2292.32,2055.41,"lesser precip",53061
"47.96875_-121.90625",1711.04,2055.41,"lesser precip",53061
"47.96875_-121.96875",1527.41,1211.6,"least precip",53061
"47.96875_-122.03125",1299.72,1211.6,"least precip",53061
"47.96875_-122.09375",1181.17,1211.6,"least precip",53061
"47.96875_-122.15625",985.7,1211.6,"least precip",53061
"47.96875_-122.21875",969.35,1211.6,"least precip",53061
"48.03125_-121.15625",2566.97,2759.57,"less precip",53061
"48.03125_-121.21875",2788.76,2759.57,"less precip",53061
"48.03125_-121.28125",2725.56,2759.57,"less precip",53061
"48.03125_-121.34375",3161.72,2759.57,"less precip",53061
"48.03125_-121.40625",3550.68,3701.32,"most precip",53061
"48.03125_-121.46875",3854.17,3701.32,"most precip",53061
"48.03125_-121.53125",4231.33,3701.32,"most precip",53061
"48.03125_-121.59375",3966.86,3701.32,"most precip",53061
"48.03125_-121.65625",3693.5,3701.32,"most precip",53061
"48.03125_-121.71875",3594.24,3701.32,"most precip",53061
"48.03125_-121.78125",3315.13,3701.32,"most precip",53061
"48.03125_-121.84375",2744.75,2759.57,"less precip",53061
"48.03125_-121.90625",1912.41,2055.41,"lesser precip",53061
"48.03125_-121.96875",1594.68,1211.6,"least precip",53061
"48.03125_-122.03125",1321.68,1211.6,"least precip",53061
"48.03125_-122.09375",1260.19,1211.6,"least precip",53061
"48.03125_-122.15625",1041.07,1211.6,"least precip",53061
"48.03125_-122.21875",988.27,1211.6,"least precip",53061
"48.09375_-121.03125",1982.27,2055.41,"lesser precip",53061
"48.09375_-121.09375",2363.16,2055.41,"lesser precip",53061
"48.09375_-121.15625",2485.77,2759.57,"less precip",53061
"48.09375_-121.21875",2676.94,2759.57,"less precip",53061
"48.09375_-121.28125",2724.68,2759.57,"less precip",53061
"48.09375_-121.34375",2978,2759.57,"less precip",53061
"48.09375_-121.40625",3072.14,2759.57,"less precip",53061
"48.09375_-121.46875",3767.86,3701.32,"most precip",53061
"48.09375_-121.53125",4028.07,3701.32,"most precip",53061
"48.09375_-121.59375",3982.44,3701.32,"most precip",53061
"48.09375_-121.65625",3780.62,3701.32,"most precip",53061
"48.09375_-121.71875",3589.69,3701.32,"most precip",53061
"48.09375_-121.78125",3218.63,2759.57,"less precip",53061
"48.09375_-121.84375",2688.19,2759.57,"less precip",53061
"48.09375_-121.90625",1982.98,2055.41,"lesser precip",53061
