"location","cluster"
"47.78125_-121.21875","4"
"47.78125_-121.34375","4"
"47.78125_-121.53125","4"
"47.84375_-121.15625","4"
"47.84375_-121.21875","4"
"47.84375_-121.28125","4"
"47.84375_-121.34375","4"
"47.90625_-121.21875","4"
"47.90625_-121.28125","4"
"47.90625_-121.34375","4"
"47.96875_-121.15625","4"
"47.96875_-121.21875","4"
"47.96875_-121.28125","4"
"47.96875_-121.34375","4"
"48.03125_-121.15625","4"
"48.03125_-121.21875","4"
"48.03125_-121.28125","4"
"48.03125_-121.34375","4"
"48.09375_-121.15625","4"
"48.09375_-121.21875","4"
"48.09375_-121.28125","4"
"48.15625_-121.15625","4"
"48.15625_-121.21875","4"
"48.15625_-121.34375","4"
"48.15625_-121.40625","4"
"48.21875_-121.09375","4"
"48.21875_-121.21875","4"
"48.21875_-121.28125","4"
"48.21875_-121.34375","4"
"48.21875_-121.40625","4"
"48.21875_-121.90625","4"
"48.28125_-121.15625","4"
"48.28125_-121.21875","4"
"48.28125_-121.28125","4"
"48.28125_-121.34375","4"
"48.28125_-121.46875","4"
"48.34375_-121.09375","4"
"48.34375_-121.15625","4"
"48.34375_-121.21875","4"
"48.34375_-121.28125","4"
"48.34375_-121.34375","4"
"48.34375_-121.59375","4"
"48.34375_-121.90625","4"
"48.40625_-121.15625","4"
"48.40625_-121.21875","4"
"48.40625_-121.28125","4"
"48.40625_-121.34375","4"
"48.40625_-121.40625","4"
"48.40625_-121.46875","4"
"48.46875_-121.28125","4"
"48.46875_-121.34375","4"
"48.46875_-121.40625","4"
"48.53125_-121.09375","4"
"48.53125_-121.15625","4"
"48.53125_-121.21875","4"
"48.53125_-121.53125","4"
"48.53125_-121.59375","4"
"48.59375_-121.09375","4"
"48.59375_-121.15625","4"
"48.59375_-121.28125","4"
"48.59375_-121.53125","4"
"48.59375_-121.59375","4"
"48.59375_-121.65625","4"
"48.65625_-121.15625","4"
"48.65625_-121.21875","4"
"48.65625_-121.34375","4"
"48.65625_-121.46875","4"
"48.71875_-121.21875","4"
"48.71875_-121.34375","4"
"48.71875_-121.40625","4"
"48.71875_-121.46875","4"
"48.71875_-121.53125","4"
"48.78125_-121.15625","4"
"48.78125_-121.21875","4"
"48.78125_-121.28125","4"
"48.78125_-121.34375","4"
"48.78125_-121.40625","4"
"48.78125_-121.46875","4"
"48.78125_-121.59375","4"
"48.78125_-121.71875","4"
"48.84375_-121.15625","4"
"48.84375_-121.28125","4"
"48.84375_-121.34375","4"
"48.84375_-121.40625","4"
"48.84375_-121.46875","4"
"48.84375_-121.53125","4"
"48.84375_-121.59375","4"
"48.84375_-121.65625","4"
"48.84375_-121.71875","4"
"48.84375_-121.78125","4"
"48.84375_-121.84375","4"
"48.84375_-121.96875","4"
"48.84375_-122.03125","4"
"48.90625_-121.15625","4"
"48.90625_-121.28125","4"
"48.90625_-121.34375","4"
"48.90625_-121.40625","4"
"48.90625_-121.46875","4"
"48.90625_-121.53125","4"
"48.90625_-121.59375","4"
"48.90625_-121.65625","4"
"48.96875_-121.21875","4"
"48.96875_-121.28125","4"
"48.96875_-121.34375","4"
"48.96875_-121.46875","4"
"48.96875_-121.53125","4"
"48.96875_-121.59375","4"
"48.96875_-121.65625","4"
"48.96875_-121.71875","4"
"48.96875_-121.84375","4"
"48.96875_-121.90625","4"
"48.96875_-121.96875","4"
"47.78125_-121.40625","3"
"47.78125_-121.46875","3"
"47.78125_-121.59375","3"
"47.78125_-121.65625","3"
"47.78125_-121.71875","3"
"47.84375_-121.40625","3"
"47.84375_-121.46875","3"
"47.84375_-121.53125","3"
"47.84375_-121.59375","3"
"47.90625_-121.40625","3"
"47.90625_-121.46875","3"
"47.90625_-121.53125","3"
"47.90625_-121.59375","3"
"47.90625_-121.65625","3"
"47.96875_-121.40625","3"
"47.96875_-121.46875","3"
"47.96875_-121.53125","3"
"47.96875_-121.59375","3"
"47.96875_-121.65625","3"
"48.03125_-121.40625","3"
"48.03125_-121.46875","3"
"48.03125_-121.53125","3"
"48.03125_-121.59375","3"
"48.03125_-121.65625","3"
"48.03125_-121.71875","3"
"48.03125_-121.78125","3"
"48.09375_-121.46875","3"
"48.09375_-121.53125","3"
"48.09375_-121.59375","3"
"48.09375_-121.65625","3"
"48.09375_-121.71875","3"
"48.09375_-121.78125","3"
"48.15625_-121.53125","3"
"48.15625_-121.59375","3"
"48.15625_-121.65625","3"
"48.15625_-121.71875","3"
"48.15625_-121.78125","3"
"48.15625_-121.84375","3"
"48.21875_-121.46875","3"
"48.21875_-121.65625","3"
"48.21875_-121.71875","3"
"48.21875_-121.78125","3"
"48.21875_-121.84375","3"
"48.34375_-121.65625","3"
"48.34375_-121.71875","3"
"48.34375_-121.78125","3"
"48.34375_-121.84375","3"
"48.40625_-121.65625","3"
"48.40625_-121.71875","3"
"48.40625_-121.78125","3"
"48.40625_-121.84375","3"
"48.40625_-121.90625","3"
"48.40625_-121.96875","3"
"48.40625_-122.03125","3"
"48.40625_-122.09375","3"
"48.46875_-121.78125","3"
"48.46875_-121.84375","3"
"48.46875_-121.90625","3"
"48.46875_-121.96875","3"
"48.59375_-121.78125","3"
"48.59375_-121.84375","3"
"48.59375_-122.15625","3"
"48.65625_-121.53125","3"
"48.65625_-121.59375","3"
"48.65625_-121.78125","3"
"48.65625_-121.84375","3"
"48.65625_-121.90625","3"
"48.65625_-121.96875","3"
"48.65625_-122.03125","3"
"48.71875_-121.71875","3"
"48.71875_-121.78125","3"
"48.71875_-121.84375","3"
"48.71875_-121.90625","3"
"48.71875_-121.96875","3"
"48.71875_-122.03125","3"
"48.78125_-121.78125","3"
"48.78125_-121.84375","3"
"48.78125_-121.90625","3"
"48.78125_-121.96875","3"
"47.78125_-121.84375","1"
"47.78125_-121.90625","1"
"47.78125_-121.96875","1"
"47.78125_-122.03125","1"
"47.78125_-122.09375","1"
"47.78125_-122.15625","1"
"47.78125_-122.21875","1"
"47.78125_-122.28125","1"
"47.78125_-122.34375","1"
"47.84375_-121.78125","1"
