"fips","st_county","state","state_fip"
16027,"ID_Canyon","ID",16
41027,"OR_Hood River","OR",41
53039,"WA_Klickitat","WA",53
41021,"OR_Gilliam","OR",41
41049,"OR_Morrow","OR",41
41059,"OR_Umatilla","OR",41
53005,"WA_Benton","WA",53
53071,"WA_Walla Walla","WA",53
53021,"WA_Franklin","WA",53
53077,"WA_Yakima","WA",53
53013,"WA_Columbia","WA",53
53025,"WA_Grant","WA",53
53001,"WA_Adams","WA",53
53037,"WA_Kittitas","WA",53
53007,"WA_Chelan","WA",53
53017,"WA_Douglas","WA",53
53047,"WA_Okanogan","WA",53
