"location","elevation","state_fips","state","lat","long","biofix"
"32.46875_-109.90625",1361,"04","AZ",32.46875,-109.90625,252.85911640625
"32.46875_-109.96875",1326.8,"04","AZ",32.46875,-109.96875,254.04585640625
"35.15625_-118.84375",139.2,"06","CA",35.15625,-118.84375,238.65010765625
"35.21875_-82.34375",644.9,"37","NC",35.21875,-82.34375,219.90209890625
"35.21875_-82.46875",771,"37","NC",35.21875,-82.46875,215.52642890625
"35.28125_-82.34375",611.5,"37","NC",35.28125,-82.34375,219.86614140625
"35.28125_-82.40625",656.3,"37","NC",35.28125,-82.40625,218.31158140625
"35.28125_-82.46875",686.6,"37","NC",35.28125,-82.46875,217.26017140625
"35.34375_-119.21875",104.5,"06","CA",35.34375,-119.21875,236.26938515625
"35.34375_-119.28125",97.9,"06","CA",35.34375,-119.28125,236.49840515625
"35.34375_-119.40625",93.7,"06","CA",35.34375,-119.40625,236.64414515625
"35.34375_-82.15625",314.7,"37","NC",35.34375,-82.15625,228.97544515625
"35.34375_-82.28125",608.7,"37","NC",35.34375,-82.28125,218.77364515625
"35.34375_-82.34375",691.9,"37","NC",35.34375,-82.34375,215.88660515625
"35.34375_-82.40625",669.9,"37","NC",35.34375,-82.40625,216.65000515625
"35.34375_-82.46875",664.3,"37","NC",35.34375,-82.46875,216.84432515625
"35.40625_-119.40625",89.4,"06","CA",35.40625,-119.40625,235.60898015625
"35.40625_-82.28125",804.7,"37","NC",35.40625,-82.28125,210.78807015625
"35.40625_-82.34375",707.7,"37","NC",35.40625,-82.34375,214.15397015625
"35.40625_-82.40625",769.5,"37","NC",35.40625,-82.40625,212.00951015625
"35.40625_-82.46875",714.1,"37","NC",35.40625,-82.46875,213.93189015625
"35.46875_-82.34375",935.7,"37","NC",35.46875,-82.34375,205.06327640625
"35.46875_-82.40625",804.7,"37","NC",35.46875,-82.40625,209.60897640625
"35.46875_-82.46875",699.7,"37","NC",35.46875,-82.46875,213.25247640625
"35.53125_-119.28125",111.4,"06","CA",35.53125,-119.28125,232.49267390625
"35.53125_-82.09375",424.7,"37","NC",35.53125,-82.09375,221.62116390625
"35.53125_-82.40625",778.3,"37","NC",35.53125,-82.40625,209.35124390625
"35.59375_-119.15625",163.8,"06","CA",35.59375,-119.15625,229.50586265625
"35.59375_-119.21875",129,"06","CA",35.59375,-119.21875,230.71342265625
"35.59375_-119.28125",112.6,"06","CA",35.59375,-119.28125,231.28250265625
"35.59375_-119.34375",100,"06","CA",35.59375,-119.34375,231.71972265625
"35.65625_-119.15625",158.6,"06","CA",35.65625,-119.15625,228.52305265625
"35.65625_-119.21875",118.1,"06","CA",35.65625,-119.21875,229.92840265625
"35.65625_-119.28125",105.5,"06","CA",35.65625,-119.28125,230.36562265625
"35.65625_-119.34375",92.9,"06","CA",35.65625,-119.34375,230.80284265625
"35.65625_-120.84375",477.4,"06","CA",35.65625,-120.84375,217.46069265625
"35.71875_-119.21875",107,"06","CA",35.71875,-119.21875,229.15560390625
"35.71875_-119.34375",83.7,"06","CA",35.71875,-119.34375,229.96411390625
"35.84375_-119.09375",150.5,"06","CA",35.84375,-119.09375,225.34606015625
"35.84375_-119.15625",127.8,"06","CA",35.84375,-119.15625,226.13375015625
"35.84375_-119.21875",105.5,"06","CA",35.84375,-119.21875,226.90756015625
"35.90625_-119.15625",120,"06","CA",35.90625,-119.15625,225.26228515625
"35.90625_-119.21875",98.9,"06","CA",35.90625,-119.21875,225.99445515625
"35.90625_-119.28125",83.4,"06","CA",35.90625,-119.28125,226.53230515625
"35.90625_-82.15625",862.7,"37","NC",35.90625,-82.15625,199.49059515625
"35.96875_-119.09375",129.3,"06","CA",35.96875,-119.09375,223.80273140625
"35.96875_-119.15625",112.5,"06","CA",35.96875,-119.15625,224.38569140625
"35.96875_-119.21875",97.6,"06","CA",35.96875,-119.21875,224.90272140625
"35.96875_-119.28125",84.1,"06","CA",35.96875,-119.28125,225.37117140625
"36.03125_-119.09375",126.1,"06","CA",36.03125,-119.09375,222.78220890625
"36.03125_-119.15625",112.1,"06","CA",36.03125,-119.15625,223.26800890625
"36.03125_-119.21875",98.6,"06","CA",36.03125,-119.21875,223.73645890625
"36.03125_-119.34375",78.5,"06","CA",36.03125,-119.34375,224.43392890625
"36.03125_-81.21875",488.3,"37","NC",36.03125,-81.21875,210.21386890625
"36.09375_-119.09375",122.1,"06","CA",36.09375,-119.09375,221.79472765625
"36.09375_-119.15625",111,"06","CA",36.09375,-119.15625,222.17989765625
"36.09375_-119.21875",98.9,"06","CA",36.09375,-119.21875,222.59976765625
"36.09375_-119.34375",78.2,"06","CA",36.09375,-119.34375,223.31805765625
"36.09375_-81.09375",513.3,"37","NC",36.09375,-81.09375,208.22008765625
"36.15625_-119.03125",139.2,"06","CA",36.15625,-119.03125,220.08035765625
"36.15625_-119.09375",117.9,"06","CA",36.15625,-119.09375,220.81946765625
"36.15625_-119.15625",104.9,"06","CA",36.15625,-119.15625,221.27056765625
"36.15625_-119.21875",96,"06","CA",36.15625,-119.21875,221.57939765625
"36.15625_-119.28125",88.3,"06","CA",36.15625,-119.28125,221.84658765625
"36.15625_-119.34375",81,"06","CA",36.15625,-119.34375,222.09989765625
"36.15625_-119.40625",76.2,"06","CA",36.15625,-119.40625,222.26645765625
"36.21875_-119.09375",121.5,"06","CA",36.21875,-119.09375,219.57882890625
"36.21875_-119.15625",104.5,"06","CA",36.21875,-119.15625,220.16872890625
"36.21875_-119.21875",98.3,"06","CA",36.21875,-119.21875,220.38386890625
"36.21875_-119.28125",94.2,"06","CA",36.21875,-119.28125,220.52613890625
"36.21875_-119.34375",89.6,"06","CA",36.21875,-119.34375,220.68575890625
"36.21875_-119.40625",83.4,"06","CA",36.21875,-119.40625,220.90089890625
"36.21875_-119.46875",78,"06","CA",36.21875,-119.46875,221.08827890625
"36.21875_-119.53125",72.5,"06","CA",36.21875,-119.53125,221.27912890625
"36.21875_-119.59375",68.1,"06","CA",36.21875,-119.59375,221.43180890625
"36.21875_-119.71875",63.9,"06","CA",36.21875,-119.71875,221.57754890625
"36.21875_-119.78125",62.8,"06","CA",36.21875,-119.78125,221.61571890625
"36.21875_-119.84375",61.8,"06","CA",36.21875,-119.84375,221.65041890625
"36.28125_-119.09375",179,"06","CA",36.28125,-119.09375,216.47314140625
"36.28125_-119.15625",114.9,"06","CA",36.28125,-119.15625,218.69741140625
"36.28125_-119.21875",108.9,"06","CA",36.28125,-119.21875,218.90561140625
"36.28125_-119.28125",102.5,"06","CA",36.28125,-119.28125,219.12769140625
"36.28125_-119.34375",95.5,"06","CA",36.28125,-119.34375,219.37059140625
"36.28125_-119.40625",88.6,"06","CA",36.28125,-119.40625,219.61002140625
"36.28125_-119.46875",82.1,"06","CA",36.28125,-119.46875,219.83557140625
"36.28125_-119.53125",76.6,"06","CA",36.28125,-119.53125,220.02642140625
"36.28125_-119.59375",73,"06","CA",36.28125,-119.59375,220.15134140625
"36.28125_-119.65625",70.2,"06","CA",36.28125,-119.65625,220.24850140625
"36.28125_-119.71875",68.2,"06","CA",36.28125,-119.71875,220.31790140625
"36.28125_-119.78125",66,"06","CA",36.28125,-119.78125,220.39424140625
"36.28125_-119.84375",62.7,"06","CA",36.28125,-119.84375,220.50875140625
"36.34375_-119.09375",139.5,"06","CA",36.34375,-119.09375,216.73863515625
"36.34375_-119.15625",124.5,"06","CA",36.34375,-119.15625,217.25913515625
"36.34375_-119.21875",114.6,"06","CA",36.34375,-119.21875,217.60266515625
"36.34375_-119.28125",106.6,"06","CA",36.34375,-119.28125,217.88026515625
"36.34375_-119.34375",99.2,"06","CA",36.34375,-119.34375,218.13704515625
"36.34375_-119.40625",90.7,"06","CA",36.34375,-119.40625,218.43199515625
"36.34375_-119.46875",83.7,"06","CA",36.34375,-119.46875,218.67489515625
"36.34375_-119.53125",79.4,"06","CA",36.34375,-119.53125,218.82410515625
"36.34375_-119.59375",78.4,"06","CA",36.34375,-119.59375,218.85880515625
"36.34375_-119.65625",76,"06","CA",36.34375,-119.65625,218.94208515625
"36.34375_-119.71875",71.6,"06","CA",36.34375,-119.71875,219.09476515625
"36.34375_-119.78125",68.4,"06","CA",36.34375,-119.78125,219.20580515625
"36.34375_-119.84375",65.2,"06","CA",36.34375,-119.84375,219.31684515625
"36.40625_-119.09375",149.8,"06","CA",36.40625,-119.09375,215.28135015625
"36.40625_-119.15625",134.9,"06","CA",36.40625,-119.15625,215.79838015625
"36.40625_-119.21875",114.1,"06","CA",36.40625,-119.21875,216.52014015625
"36.40625_-119.28125",104.1,"06","CA",36.40625,-119.28125,216.86714015625
"36.40625_-119.34375",96.8,"06","CA",36.40625,-119.34375,217.12045015625
"36.40625_-119.40625",90.7,"06","CA",36.40625,-119.40625,217.33212015625
"36.40625_-119.46875",85.4,"06","CA",36.40625,-119.46875,217.51603015625
"36.40625_-119.53125",83.4,"06","CA",36.40625,-119.53125,217.58543015625
"36.40625_-119.59375",82.3,"06","CA",36.40625,-119.59375,217.62360015625
"36.40625_-119.65625",81.2,"06","CA",36.40625,-119.65625,217.66177015625
"36.40625_-119.71875",76.4,"06","CA",36.40625,-119.71875,217.82833015625
