"location","elevation","state_fips","state","lat","long","biofix"
"35.15625_-118.84375",139.2,"06","CA",35.15625,-118.84375,249.436438476562
"35.34375_-119.21875",104.5,"06","CA",35.34375,-119.21875,245.445782226563
"35.34375_-119.28125",97.9,"06","CA",35.34375,-119.28125,245.445782226563
"35.34375_-119.40625",93.7,"06","CA",35.34375,-119.40625,245.445782226563
"35.34375_-82.15625",314.7,"37","NC",35.34375,-82.15625,245.445782226563
"35.40625_-119.40625",89.4,"06","CA",35.40625,-119.40625,244.127204101562
"35.53125_-119.28125",111.4,"06","CA",35.53125,-119.28125,241.507508789063
"35.59375_-119.15625",163.8,"06","CA",35.59375,-119.15625,240.206391601562
"35.59375_-119.21875",129,"06","CA",35.59375,-119.21875,240.206391601562
"35.59375_-119.28125",112.6,"06","CA",35.59375,-119.28125,240.206391601562
"35.59375_-119.34375",100,"06","CA",35.59375,-119.34375,240.206391601562
"35.65625_-119.15625",158.6,"06","CA",35.65625,-119.15625,238.911094726563
"35.65625_-119.21875",118.1,"06","CA",35.65625,-119.21875,238.911094726563
"35.65625_-119.28125",105.5,"06","CA",35.65625,-119.28125,238.911094726563
"35.65625_-119.34375",92.9,"06","CA",35.65625,-119.34375,238.911094726563
"35.71875_-119.21875",107,"06","CA",35.71875,-119.21875,237.621618164062
"35.71875_-119.34375",83.7,"06","CA",35.71875,-119.34375,237.621618164062
"35.84375_-119.09375",150.5,"06","CA",35.84375,-119.09375,235.060125976562
"35.84375_-119.15625",127.8,"06","CA",35.84375,-119.15625,235.060125976562
"35.84375_-119.21875",105.5,"06","CA",35.84375,-119.21875,235.060125976562
"35.90625_-119.15625",120,"06","CA",35.90625,-119.15625,233.788110351563
"35.90625_-119.21875",98.9,"06","CA",35.90625,-119.21875,233.788110351563
"35.90625_-119.28125",83.4,"06","CA",35.90625,-119.28125,233.788110351563
"35.96875_-119.09375",129.3,"06","CA",35.96875,-119.09375,232.521915039063
"35.96875_-119.15625",112.5,"06","CA",35.96875,-119.15625,232.521915039063
