"location","fips","st_county"
"43.53125_-116.59375",16027,"ID_Canyon "
"43.59375_-116.78125",16027,"ID_Canyon "
"43.59375_-116.84375",16027,"ID_Canyon "
"43.65625_-116.84375",16027,"ID_Canyon "
"45.53125_-121.59375",41027,"OR_Hood River "
"45.59375_-121.53125",41027,"OR_Hood River "
"45.59375_-121.65625",41027,"OR_Hood River "
"45.65625_-121.15625",53039,"WA_Klickitat "
"45.65625_-121.46875",41027,"OR_Hood River "
"45.65625_-121.53125",41027,"OR_Hood River "
"45.65625_-121.59375",41027,"OR_Hood River "
"45.71875_-120.21875",41021,"OR_Gilliam "
"45.71875_-120.34375",53039,"WA_Klickitat "
"45.84375_-119.84375",41049,"OR_Morrow "
"45.84375_-119.90625",53039,"WA_Klickitat "
"45.90625_-119.40625",41059,"OR_Umatilla "
"45.96875_-119.09375",53005,"WA_Benton "
"45.96875_-119.34375",53005,"WA_Benton "
"45.96875_-119.46875",53005,"WA_Benton "
"45.96875_-119.59375",53005,"WA_Benton "
"45.96875_-119.90625",53039,"WA_Klickitat "
"45.96875_-119.96875",53039,"WA_Klickitat "
"46.03125_-119.84375",53005,"WA_Benton "
"46.03125_-119.90625",53039,"WA_Klickitat "
"46.09375_-118.78125",53071,"WA_Walla Walla "
"46.09375_-118.84375",53071,"WA_Walla Walla "
"46.09375_-118.90625",53071,"WA_Walla Walla "
"46.09375_-118.96875",53005,"WA_Benton "
"46.15625_-118.90625",53071,"WA_Walla Walla "
"46.15625_-119.03125",53005,"WA_Benton "
"46.15625_-119.09375",53005,"WA_Benton "
"46.21875_-118.84375",53071,"WA_Walla Walla "
"46.21875_-118.90625",53071,"WA_Walla Walla "
"46.21875_-118.96875",53071,"WA_Walla Walla "
"46.21875_-119.03125",53021,"WA_Franklin "
"46.21875_-119.28125",53005,"WA_Benton "
"46.21875_-119.34375",53005,"WA_Benton "
"46.21875_-119.40625",53005,"WA_Benton "
"46.21875_-119.46875",53005,"WA_Benton "
"46.21875_-119.71875",53005,"WA_Benton "
"46.21875_-119.78125",53005,"WA_Benton "
"46.21875_-119.84375",53005,"WA_Benton "
"46.21875_-119.90625",53077,"WA_Yakima "
"46.21875_-119.96875",53077,"WA_Yakima "
"46.21875_-120.15625",53077,"WA_Yakima "
"46.28125_-117.90625",53013,"WA_Columbia "
"46.28125_-118.84375",53021,"WA_Franklin "
"46.28125_-118.90625",53021,"WA_Franklin "
"46.28125_-118.96875",53021,"WA_Franklin "
"46.28125_-119.09375",53021,"WA_Franklin "
"46.28125_-119.34375",53005,"WA_Benton "
"46.28125_-119.40625",53005,"WA_Benton "
"46.28125_-119.46875",53005,"WA_Benton "
"46.28125_-119.53125",53005,"WA_Benton "
"46.28125_-119.59375",53005,"WA_Benton "
"46.28125_-119.65625",53005,"WA_Benton "
"46.28125_-119.71875",53005,"WA_Benton "
"46.28125_-119.78125",53005,"WA_Benton "
"46.28125_-119.84375",53005,"WA_Benton "
"46.28125_-119.90625",53077,"WA_Yakima "
"46.28125_-119.96875",53077,"WA_Yakima "
"46.28125_-120.59375",53077,"WA_Yakima "
"46.28125_-120.65625",53077,"WA_Yakima "
"46.34375_-118.65625",53071,"WA_Walla Walla "
"46.34375_-118.71875",53071,"WA_Walla Walla "
"46.34375_-118.78125",53021,"WA_Franklin "
"46.34375_-119.09375",53021,"WA_Franklin "
