"fips","state","county","grid_count"
4003,"AZ","Cochise ",10
4009,"AZ","Graham ",20
13215,"GA","Muscogee ",1
13145,"GA","Harris ",2
13263,"GA","Talbot ",4
35035,"NM","Otero ",4
1021,"AL","Chilton ",8
1007,"AL","Bibb ",1
13199,"GA","Meriwether ",5
1123,"AL","Tallapoosa ",1
13285,"GA","Troup ",1
13293,"GA","Upson ",1
1037,"AL","Coosa ",1
1117,"AL","Shelby ",4
13077,"GA","Coweta ",3
13113,"GA","Fayette ",6
13255,"GA","Spalding ",2
13151,"GA","Henry ",3
35027,"NM","Lincoln ",2
13149,"GA","Heard ",1
6059,"CA","Orange ",3
13045,"GA","Carroll ",2
1029,"AL","Cleburne ",2
13121,"GA","Fulton ",5
13211,"GA","Morgan ",1
13133,"GA","Greene ",4
13143,"GA","Haralson ",3
13089,"GA","DeKalb ",2
6065,"CA","Riverside ",1
1009,"AL","Blount ",1
13223,"GA","Paulding ",1
13219,"GA","Oconee ",2
13013,"GA","Barrow ",1
13221,"GA","Oglethorpe ",1
13067,"GA","Cobb ",1
13135,"GA","Gwinnett ",3
6071,"CA","San Bernardino ",2
1055,"AL","Etowah ",1
13015,"GA","Bartow ",3
6111,"CA","Ventura ",5
1043,"AL","Cullman ",2
13057,"GA","Cherokee ",3
13117,"GA","Forsyth ",1
1095,"AL","Marshall ",1
13085,"GA","Dawson ",5
6083,"CA","Santa Barbara ",42
13055,"GA","Chattooga ",1
13129,"GA","Gordon ",3
13227,"GA","Pickens ",6
13139,"GA","Hall ",2
1103,"AL","Morgan ",2
1019,"AL","Cherokee ",1
13187,"GA","Lumpkin ",1
13137,"GA","Habersham ",4
13257,"GA","Stephens ",1
6037,"CA","Los Angeles ",1
1089,"AL","Madison ",3
13123,"GA","Gilmer ",19
13311,"GA","White ",4
1071,"AL","Jackson ",5
1049,"AL","DeKalb ",2
13313,"GA","Whitfield ",5
13213,"GA","Murray ",4
13111,"GA","Fannin ",13
13291,"GA","Union ",5
13241,"GA","Rabun ",10
6079,"CA","San Luis Obispo ",54
6029,"CA","Kern ",145
37007,"NC","Anson ",2
1077,"AL","Lauderdale ",1
13047,"GA","Catoosa ",1
37099,"NC","Jackson ",4
37153,"NC","Richmond ",1
37175,"NC","Transylvania ",13
45045,"SC","Greenville ",4
37089,"NC","Henderson ",22
37149,"NC","Polk ",15
37161,"NC","Rutherford ",32
37167,"NC","Stanly ",1
37045,"NC","Cleveland ",8
37071,"NC","Gaston ",1
37021,"NC","Buncombe ",16
37109,"NC","Lincoln ",3
37025,"NC","Cabarrus ",1
37087,"NC","Haywood ",2
37111,"NC","McDowell ",25
37159,"NC","Rowan ",10
37101,"NC","Johnston ",1
37023,"NC","Burke ",21
37035,"NC","Catawba ",7
37097,"NC","Iredell ",19
37183,"NC","Wake ",1
37027,"NC","Caldwell ",17
37057,"NC","Davidson ",2
6053,"CA","Monterey ",57
6031,"CA","Kings ",70
6107,"CA","Tulare ",105
35033,"NM","Mora ",1
37199,"NC","Yancey ",8
37003,"NC","Alexander ",17
37059,"NC","Davie ",10
37121,"NC","Mitchell ",7
37011,"NC","Avery ",6
37193,"NC","Wilkes ",42
6019,"CA","Fresno ",178
37197,"NC","Yadkin ",17
37041,"NC","Chowan ",4
37189,"NC","Watauga ",12
37067,"NC","Forsyth ",2
37143,"NC","Perquimans ",6
37139,"NC","Pasquotank ",5
6069,"CA","San Benito ",23
37009,"NC","Ashe ",16
37171,"NC","Surry ",33
37169,"NC","Stokes ",11
37029,"NC","Camden ",2
47091,"TN","Johnson ",1
37005,"NC","Alleghany ",13
37053,"NC","Currituck ",1
37157,"NC","Rockingham ",1
47073,"TN","Hawkins ",1
47163,"TN","Sullivan ",2
51077,"VA","Grayson ",12
51035,"VA","Carroll ",28
51141,"VA","Patrick ",25
21053,"KY","Clinton ",6
51191,"VA","Washington ",16
51640,"VA","Galax City",1
51089,"VA","Henry ",2
51143,"VA","Pittsylvania ",5
51105,"VA","Lee ",1
51169,"VA","Scott ",1
51173,"VA","Smyth ",6
51083,"VA","Halifax ",4
6039,"CA","Madera ",61
51063,"VA","Floyd ",12
51197,"VA","Wythe ",10
51067,"VA","Franklin ",19
6087,"CA","Santa Cruz ",9
6047,"CA","Merced ",99
51195,"VA","Wise ",1
51167,"VA","Russell ",13
51155,"VA","Pulaski ",1
6085,"CA","Santa Clara ",21
21207,"KY","Russell ",5
51183,"VA","Sussex ",3
8083,"CO","Montezuma ",1
21169,"KY","Metcalfe ",1
51185,"VA","Tazewell ",10
51135,"VA","Nottoway ",1
51181,"VA","Surry ",10
6081,"CA","San Mateo ",13
51051,"VA","Dickenson ",2
51021,"VA","Bland ",3
51121,"VA","Montgomery ",2
21001,"KY","Adair ",1
51027,"VA","Buchanan ",12
51161,"VA","Roanoke ",5
51037,"VA","Charlotte ",2
51199,"VA","York ",2
6043,"CA","Mariposa ",5
17153,"IL","Pulaski ",1
21045,"KY","Casey ",10
51031,"VA","Campbell ",5
51095,"VA","James City ",4
6099,"CA","Stanislaus ",80
54055,"WV","Mercer ",7
51071,"VA","Giles ",4
51019,"VA","Bedford ",4
51011,"VA","Appomattox ",15
17181,"IL","Union ",5
54047,"WV","McDowell ",6
51023,"VA","Botetourt ",15
51009,"VA","Amherst ",15
54109,"WV","Wyoming ",6
54089,"WV","Summers ",1
51045,"VA","Craig ",1
6001,"CA","Alameda ",12
54063,"WV","Monroe ",1
51029,"VA","Buckingham ",1
6077,"CA","San Joaquin ",92
17087,"IL","Johnson ",1
21155,"KY","Marion ",1
21021,"KY","Boyle ",2
54081,"WV","Raleigh ",11
51125,"VA","Nelson ",18
17077,"IL","Jackson ",1
54059,"WV","Mingo ",1
21167,"KY","Mercer ",2
51005,"VA","Alleghany ",4
51163,"VA","Rockbridge ",4
6013,"CA","Contra Costa ",17
6009,"CA","Calaveras ",10
54045,"WV","Logan ",1
21239,"KY","Woodford ",2
54005,"WV","Boone ",2
51015,"VA","Augusta ",16
51003,"VA","Albemarle ",19
6041,"CA","Marin ",5
6109,"CA","Tuolumne ",1
8113,"CO","San Miguel ",1
54019,"WV","Fayette ",4
6067,"CA","Sacramento ",62
6097,"CA","Sonoma ",20
6095,"CA","Solano ",45
51137,"VA","Orange ",4
6055,"CA","Napa ",40
6005,"CA","Amador ",9
8101,"CO","Pueblo ",1
24037,"MD","Saint Mary's ",1
54067,"WV","Nicholas ",8
51113,"VA","Madison ",8
6113,"CA","Yolo ",66
18051,"IN","Gibson ",1
54075,"WV","Pocahontas ",2
51165,"VA","Rockingham ",14
51079,"VA","Greene ",1
51047,"VA","Culpeper ",10
8085,"CO","Montrose ",5
8043,"CO","Fremont ",3
17133,"IL","Monroe ",1
17163,"IL","Saint Clair ",4
18125,"IN","Pike ",1
51139,"VA","Page ",9
54071,"WV","Pendleton ",5
51157,"VA","Rappahannock ",13
6017,"CA","El Dorado ",8
18083,"IN","Knox ",4
21081,"KY","Grant ",2
10005,"DE","Sussex ",19
6033,"CA","Lake ",16
6061,"CA","Placer ",24
8077,"CO","Mesa ",25
8029,"CO","Delta ",30
17119,"IL","Madison ",1
54083,"WV","Randolph ",4
51171,"VA","Shenandoah ",18
51061,"VA","Fauquier ",15
24011,"MD","Caroline ",11
6101,"CA","Sutter ",41
