"lat","lon","cellid","stateid","apple","pears","walnut","location","vicid","state_fips","fips","state","county","vic_km2"
31.84375,-110.21875,102261,4,0.000183,0,0,"31.84375_-110.21875",101389,4,4003,"AZ","Cochise ",41.00595
31.96875,-110.28125,104132,4,0.000504,0,0,"31.96875_-110.28125",103244,4,4003,"AZ","Cochise ",40.95015
32.15625,-110.28125,106940,4,4.6e-05,0,0,"32.15625_-110.28125",106028,4,4003,"AZ","Cochise ",40.8661
32.21875,-110.34375,107875,4,6.1e-05,0,0,"32.21875_-110.34375",106955,4,4003,"AZ","Cochise ",40.83798
32.28125,-109.90625,108818,4,0.000931,0,0,"32.28125_-109.90625",107890,4,4003,"AZ","Cochise ",40.80981
32.28125,-109.84375,108819,4,0.000824,0,0,"32.28125_-109.84375",107891,4,4003,"AZ","Cochise ",40.80981
32.34375,-110.21875,109749,4,3.1e-05,0,0,"32.34375_-110.21875",108813,4,4003,"AZ","Cochise ",40.7816
32.34375,-109.90625,109754,4,0.00058,0,0,"32.34375_-109.90625",108818,4,4003,"AZ","Cochise ",40.7816
32.34375,-109.84375,109755,4,0.000702,0,0,"32.34375_-109.84375",108819,4,4003,"AZ","Cochise ",40.7816
32.40625,-109.90625,110690,4,0.000275,0,0,"32.40625_-109.90625",109746,4,4003,"AZ","Cochise ",40.75334
32.46875,-110.34375,111619,4,3.1e-05,0,0,"32.46875_-110.34375",110667,4,4009,"AZ","Graham ",40.72503
32.46875,-110.15625,111622,4,0.000183,0,0,"32.46875_-110.15625",110670,4,4009,"AZ","Graham ",40.72503
32.46875,-109.96875,111625,4,0.023987,0,0,"32.46875_-109.96875",110673,4,4009,"AZ","Graham ",40.72503
32.46875,-109.90625,111626,4,0.022797,0,0,"32.46875_-109.90625",110674,4,4009,"AZ","Graham ",40.72503
32.59375,-109.96875,113497,4,0.000351,0,0,"32.59375_-109.96875",112529,4,4009,"AZ","Graham ",40.66826
32.59375,-84.90625,113898,13,0.000107,0,0,"32.59375_-84.90625",112930,13,13215,"GA","Muscogee ",40.66826
