lat,lon,cellid,stateid,apple,pears,walnut
49.03125,-122.34375,359467,53,0.000092,0.000000,0.000000
49.03125,-122.28125,359468,53,0.000031,0.000000,0.000000
49.03125,-119.46875,359513,53,0.000153,0.000015,0.000000
49.03125,-119.40625,359514,53,0.000702,0.000000,0.000000
48.96875,-122.78125,358524,53,0.000046,0.000000,0.000000
48.96875,-122.65625,358526,53,0.000031,0.000000,0.000000
48.96875,-122.59375,358527,53,0.000092,0.000000,0.000000
48.96875,-122.53125,358528,53,0.000031,0.000000,0.000000
48.96875,-122.34375,358531,53,0.000671,0.000000,0.000000
48.96875,-122.15625,358534,53,0.000000,0.000000,0.000031
48.96875,-119.71875,358573,53,0.002563,0.000183,0.000000
48.96875,-119.65625,358574,53,0.000107,0.000473,0.000000
48.96875,-119.46875,358577,53,0.035324,0.001358,0.000000
48.96875,-119.40625,358578,53,0.103439,0.002609,0.000000
48.96875,-119.34375,358579,53,0.000031,0.000000,0.000000
48.96875,-119.28125,358580,53,0.000076,0.000000,0.000000
48.96875,-119.21875,358581,53,0.000031,0.000031,0.000000
48.96875,-119.15625,358582,53,0.000214,0.000000,0.000000
48.96875,-119.03125,358584,53,0.000137,0.000000,0.000000
48.96875,-118.78125,358588,53,0.000824,0.000000,0.000000
48.96875,-118.53125,358592,53,0.000046,0.000000,0.000000
48.90625,-122.71875,357589,53,0.000031,0.000000,0.000000
48.90625,-122.65625,357590,53,0.000076,0.000000,0.000000
48.90625,-122.59375,357591,53,0.000031,0.000000,0.000000
48.90625,-122.53125,357592,53,0.000259,0.000000,0.000000
48.90625,-122.34375,357595,53,0.000641,0.000000,0.000000
48.90625,-122.28125,357596,53,0.001480,0.000000,0.000000
48.90625,-119.65625,357638,53,0.000458,0.000061,0.000000
48.90625,-119.59375,357639,53,0.015686,0.011566,0.000000
48.90625,-119.46875,357641,53,0.080048,0.005585,0.000000
48.90625,-119.40625,357642,53,0.032837,0.000534,0.000000
48.90625,-119.28125,357644,53,0.000061,0.000000,0.000000
48.90625,-119.21875,357645,53,0.000031,0.000031,0.000000
48.90625,-119.09375,357647,53,0.000076,0.000000,0.000000
48.90625,-118.84375,357651,53,0.000046,0.000000,0.000000
48.90625,-118.71875,357653,53,0.000229,0.000000,0.000000
48.90625,-118.59375,357655,53,0.000229,0.000000,0.000000
48.90625,-118.21875,357661,53,0.000015,0.000000,0.000000
48.84375,-122.65625,356654,53,0.000061,0.000000,0.000000
48.84375,-122.59375,356655,53,0.000046,0.000000,0.000000
48.84375,-122.46875,356657,53,0.000977,0.000000,0.000198
48.84375,-119.84375,356699,53,0.000046,0.000000,0.000000
48.84375,-119.65625,356702,53,0.005569,0.002625,0.000000
48.84375,-119.59375,356703,53,0.021408,0.000183,0.000000
48.84375,-119.53125,356704,53,0.024536,0.001495,0.000000
48.84375,-119.46875,356705,53,0.006729,0.000061,0.000000
48.84375,-119.40625,356706,53,0.099945,0.005051,0.000000
48.84375,-119.34375,356707,53,0.000061,0.000000,0.000000
48.84375,-119.15625,356710,53,0.000046,0.000000,0.000000
48.84375,-118.59375,356719,53,0.000153,0.000000,0.000000
48.78125,-121.53125,355736,53,0.000000,0.000000,0.000061
48.78125,-121.46875,355737,53,0.000000,0.000000,0.000076
48.78125,-119.65625,355766,53,0.008087,0.004578,0.000000
48.78125,-119.59375,355767,53,0.000244,0.000000,0.000000
48.78125,-119.53125,355768,53,0.031784,0.001617,0.000000
48.78125,-119.46875,355769,53,0.024017,0.004623,0.000000
48.78125,-119.40625,355770,53,0.170135,0.049194,0.000000
48.78125,-119.34375,355771,53,0.000397,0.000000,0.000000
48.78125,-119.28125,355772,53,0.000092,0.000000,0.000000
48.78125,-119.09375,355775,53,0.000076,0.000000,0.000000
48.78125,-118.96875,355777,53,0.000031,0.000000,0.000000
48.78125,-118.71875,355781,53,0.000031,0.000000,0.000000
48.71875,-119.65625,354830,53,0.000137,0.000000,0.000000
48.71875,-119.59375,354831,53,0.000031,0.000000,0.000000
48.71875,-119.53125,354832,53,0.001846,0.000031,0.000000
48.71875,-119.46875,354833,53,0.030838,0.034378,0.000000
48.71875,-119.40625,354834,53,0.035904,0.028091,0.000000
48.71875,-119.34375,354835,53,0.001572,0.000259,0.000000
48.71875,-119.28125,354836,53,0.000046,0.000000,0.000000
48.71875,-119.21875,354837,53,0.000015,0.000000,0.000000
48.71875,-118.71875,354845,53,0.000031,0.000000,0.000000
48.71875,-118.65625,354846,53,0.000031,0.000000,0.000000
48.71875,-118.09375,354855,53,0.000000,0.000031,0.000000
48.71875,-117.96875,354857,53,0.000015,0.000000,0.000000
48.71875,-117.65625,354862,53,0.000061,0.000000,0.000000
48.65625,-119.96875,353889,53,0.000031,0.000000,0.000000
48.65625,-119.90625,353890,53,0.000061,0.000000,0.000000
48.65625,-119.71875,353893,53,0.000122,0.000000,0.000000
48.65625,-119.65625,353894,53,0.000061,0.000000,0.000000
48.65625,-119.59375,353895,53,0.000381,0.000092,0.000000
48.65625,-119.53125,353896,53,0.006180,0.021637,0.000000
48.65625,-119.46875,353897,53,0.038666,0.020233,0.000000
48.65625,-119.34375,353899,53,0.002670,0.000153,0.000000
48.65625,-119.28125,353900,53,0.000137,0.000046,0.000000
48.65625,-119.21875,353901,53,0.000519,0.000061,0.000000
