"fips","state","county","grid_count"
6029,"CA","Kern ",16
37089,"NC","Henderson ",13
6107,"CA","Tulare ",64
6031,"CA","Kings ",22
6019,"CA","Fresno ",62
6053,"CA","Monterey ",7
6039,"CA","Madera ",26
6047,"CA","Merced ",20
6099,"CA","Stanislaus ",54
6077,"CA","San Joaquin ",73
6067,"CA","Sacramento ",23
6095,"CA","Solano ",11
6113,"CA","Yolo ",48
6101,"CA","Sutter ",35
6011,"CA","Colusa ",37
6115,"CA","Yuba ",15
51069,"VA","Frederick ",9
6007,"CA","Butte ",32
54003,"WV","Berkeley ",5
6021,"CA","Glenn ",35
6103,"CA","Tehama ",22
42001,"PA","Adams ",12
36111,"NY","Ulster ",12
26021,"MI","Berrien ",14
26159,"MI","Van Buren ",28
26005,"MI","Allegan ",5
26081,"MI","Kent ",14
36117,"NY","Wayne ",23
36073,"NY","Orleans ",15
36063,"NY","Niagara ",11
36000,"NY","36000",6
26127,"MI","Oceana ",15
26105,"MI","Mason ",6
41027,"OR","Hood River ",9
53039,"WA","Klickitat ",5
53005,"WA","Benton ",38
53071,"WA","Walla Walla ",16
53021,"WA","Franklin ",38
53077,"WA","Yakima ",82
53025,"WA","Grant ",86
53001,"WA","Adams ",7
53037,"WA","Kittitas ",10
53007,"WA","Chelan ",30
53017,"WA","Douglas ",17
53047,"WA","Okanogan ",47
