"future_fip","model","time_period","emission","top_1_fip","top_2_fip","top_3_fip"
16027,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
16027,"bcc-csm1-1-m","F2","rcp45",53071,6077,6099
16027,"bcc-csm1-1-m","F3","rcp45",6047,6099,6031
16027,"BNU-ESM","F1","rcp45",6047,6099,6039
16027,"BNU-ESM","F2","rcp45",6047,6039,6099
16027,"BNU-ESM","F3","rcp45",6047,6039,6031
16027,"CanESM2","F1","rcp45",6047,6099,6077
16027,"CanESM2","F2","rcp45",6039,6047,6031
16027,"CanESM2","F3","rcp45",6039,6107,6047
16027,"CNRM-CM5","F1","rcp45",53071,6077,53005
16027,"CNRM-CM5","F2","rcp45",6047,6099,6039
16027,"CNRM-CM5","F3","rcp45",6047,6099,6077
16027,"GFDL-ESM2G","F1","rcp45",53071,53005,53021
16027,"GFDL-ESM2G","F2","rcp45",6047,6099,6039
16027,"GFDL-ESM2G","F3","rcp45",6077,6099,6047
16027,"GFDL-ESM2M","F1","rcp45",53071,53005,53021
16027,"GFDL-ESM2M","F2","rcp45",53071,53005,53021
16027,"GFDL-ESM2M","F3","rcp45",53071,53005,53021
41027,"bcc-csm1-1-m","F1","rcp45",36063,36000,36117
41027,"bcc-csm1-1-m","F2","rcp45",36117,36073,36063
41027,"bcc-csm1-1-m","F3","rcp45",36073,36063,36000
41027,"BNU-ESM","F1","rcp45",36117,36073,26159
41027,"BNU-ESM","F2","rcp45",51069,26021,42001
41027,"BNU-ESM","F3","rcp45",51069,54003,42001
41027,"CanESM2","F1","rcp45",36117,36073,36063
41027,"CanESM2","F2","rcp45",51069,26021,42001
41027,"CanESM2","F3","rcp45",54003,51069,42001
41027,"CNRM-CM5","F1","rcp45",36063,36117,36000
41027,"CNRM-CM5","F2","rcp45",36073,36117,36000
41027,"CNRM-CM5","F3","rcp45",36117,36073,36063
41027,"GFDL-ESM2G","F1","rcp45",26127,26105,36063
41027,"GFDL-ESM2G","F2","rcp45",36117,36073,26159
41027,"GFDL-ESM2G","F3","rcp45",36117,36073,36063
41027,"GFDL-ESM2M","F1","rcp45",26127,26105,26081
41027,"GFDL-ESM2M","F2","rcp45",36117,26081,36063
41027,"GFDL-ESM2M","F3","rcp45",36063,36117,36000
53039,"bcc-csm1-1-m","F1","rcp45",53005,53071,53021
53039,"bcc-csm1-1-m","F2","rcp45",53071,53005,6077
53039,"bcc-csm1-1-m","F3","rcp45",53005,6047,6099
53039,"BNU-ESM","F1","rcp45",6099,6047,6077
53039,"BNU-ESM","F2","rcp45",6047,6039,6099
53039,"BNU-ESM","F3","rcp45",6031,6039,6047
53039,"CanESM2","F1","rcp45",6099,6047,6077
53039,"CanESM2","F2","rcp45",6031,6047,6039
53039,"CanESM2","F3","rcp45",6039,6047,6031
53039,"CNRM-CM5","F1","rcp45",53071,53005,53021
53039,"CNRM-CM5","F2","rcp45",6047,6099,6031
53039,"CNRM-CM5","F3","rcp45",53071,6099,6047
53039,"GFDL-ESM2G","F1","rcp45",53005,53071,53021
53039,"GFDL-ESM2G","F2","rcp45",6047,6099,6077
53039,"GFDL-ESM2G","F3","rcp45",53071,53005,6077
53039,"GFDL-ESM2M","F1","rcp45",53005,53021,53071
53039,"GFDL-ESM2M","F2","rcp45",53005,53071,53021
53039,"GFDL-ESM2M","F3","rcp45",53005,53071,53021
41021,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
41021,"bcc-csm1-1-m","F2","rcp45",6047,6099,6077
41021,"bcc-csm1-1-m","F3","rcp45",6047,6099,6039
41021,"BNU-ESM","F1","rcp45",6047,6099,6039
41021,"BNU-ESM","F2","rcp45",6047,6039,6031
41021,"BNU-ESM","F3","rcp45",6031,6107,6039
41021,"CanESM2","F1","rcp45",6047,6099,6039
41021,"CanESM2","F2","rcp45",6031,6039,6047
41021,"CanESM2","F3","rcp45",6039,6107,6019
41021,"CNRM-CM5","F1","rcp45",53071,53005,6077
41021,"CNRM-CM5","F2","rcp45",6031,6047,6099
41021,"CNRM-CM5","F3","rcp45",6047,6099,6077
41021,"GFDL-ESM2G","F1","rcp45",53071,53005,53021
41021,"GFDL-ESM2G","F2","rcp45",6047,6099,6039
41021,"GFDL-ESM2G","F3","rcp45",6047,6099,6077
41021,"GFDL-ESM2M","F1","rcp45",53071,53005,53021
41021,"GFDL-ESM2M","F2","rcp45",53071,53005,53021
41021,"GFDL-ESM2M","F3","rcp45",53071,53005,53021
41049,"bcc-csm1-1-m","F1","rcp45",53005,53071,53021
41049,"bcc-csm1-1-m","F2","rcp45",6047,6099,6031
41049,"bcc-csm1-1-m","F3","rcp45",6031,6047,6099
41049,"BNU-ESM","F1","rcp45",6047,6099,6039
41049,"BNU-ESM","F2","rcp45",6031,6039,6047
41049,"BNU-ESM","F3","rcp45",6031,6107,6019
41049,"CanESM2","F1","rcp45",6047,6099,6031
41049,"CanESM2","F2","rcp45",6031,6107,6039
41049,"CanESM2","F3","rcp45",6107,6039,6031
41049,"CNRM-CM5","F1","rcp45",53071,53005,6077
41049,"CNRM-CM5","F2","rcp45",6031,6047,6039
41049,"CNRM-CM5","F3","rcp45",6047,6099,6039
41049,"GFDL-ESM2G","F1","rcp45",53005,53071,53021
41049,"GFDL-ESM2G","F2","rcp45",6047,6099,6039
41049,"GFDL-ESM2G","F3","rcp45",6047,6099,6077
41049,"GFDL-ESM2M","F1","rcp45",53005,53071,53021
41049,"GFDL-ESM2M","F2","rcp45",53005,53071,53021
41049,"GFDL-ESM2M","F3","rcp45",53005,53071,53021
41059,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
41059,"bcc-csm1-1-m","F2","rcp45",6099,6047,6077
