"lat","long","locationGroup","location"
42.03125,-123.21875,"Oregon Area","42.03125_-123.21875"
42.09375,-122.90625,"Oregon Area","42.09375_-122.90625"
42.15625,-122.90625,"Oregon Area","42.15625_-122.90625"
42.21875,-123.65625,"Oregon Area","42.21875_-123.65625"
42.21875,-123.28125,"Oregon Area","42.21875_-123.28125"
42.28125,-123.15625,"Oregon Area","42.28125_-123.15625"
42.28125,-122.90625,"Oregon Area","42.28125_-122.90625"
42.28125,-122.84375,"Oregon Area","42.28125_-122.84375"
42.28125,-122.78125,"Oregon Area","42.28125_-122.78125"
42.34375,-123.46875,"Oregon Area","42.34375_-123.46875"
42.34375,-122.96875,"Oregon Area","42.34375_-122.96875"
42.34375,-122.90625,"Oregon Area","42.34375_-122.90625"
42.34375,-122.65625,"Oregon Area","42.34375_-122.65625"
42.40625,-124.03125,"Oregon Area","42.40625_-124.03125"
42.40625,-123.53125,"Oregon Area","42.40625_-123.53125"
42.40625,-123.46875,"Oregon Area","42.40625_-123.46875"
42.40625,-122.96875,"Oregon Area","42.40625_-122.96875"
42.40625,-122.71875,"Oregon Area","42.40625_-122.71875"
42.40625,-122.59375,"Oregon Area","42.40625_-122.59375"
42.46875,-124.03125,"Oregon Area","42.46875_-124.03125"
42.46875,-123.46875,"Oregon Area","42.46875_-123.46875"
42.46875,-123.09375,"Oregon Area","42.46875_-123.09375"
42.46875,-122.90625,"Oregon Area","42.46875_-122.90625"
42.46875,-122.84375,"Oregon Area","42.46875_-122.84375"
42.46875,-122.78125,"Oregon Area","42.46875_-122.78125"
42.65625,-124.40625,"Oregon Area","42.65625_-124.40625"
42.78125,-122.71875,"Oregon Area","42.78125_-122.71875"
42.84375,-116.15625,"Oregon Area","42.84375_-116.15625"
42.90625,-116.15625,"Oregon Area","42.90625_-116.15625"
42.96875,-124.40625,"Oregon Area","42.96875_-124.40625"
42.96875,-123.71875,"Oregon Area","42.96875_-123.71875"
42.96875,-123.34375,"Oregon Area","42.96875_-123.34375"
