loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,1,Historical,bcc-csm1-1,1979,24may1979,05jun1979,19jun1979,380,518,778,1060,.0159104576369678,.1544524924564875,.7406697926060376,.1762801743775738,.9808955575860943,.9868127818702127,2914,3068,0,14,14,31.492176,13.730402,4.3411789,1,,,
East Oroville,48.980461,-119.41203,2,Historical,bcc-csm1-1,1980,22may1980,07jun1980,21jun1980,380,524,649,826,.0159104576369678,.1651755351451852,.4509011824463748,.1762801743775738,.8185428795611185,.8137370611565393,1918,1949,0,14,14,62.32682,27.197895,14.566775,1,,,
East Oroville,48.980461,-119.41203,3,Historical,bcc-csm1-1,1981,26may1981,09jun1981,23jun1981,374,529,682,858,.0138389932426956,.1744033520426749,.5328042326883653,.1651755351451852,.8600496573216805,.8369828471814952,2324,2395,0,14,14,51.775906,22.736385,10.934633,1,,,
East Oroville,48.980461,-119.41203,4,Historical,bcc-csm1-1,1982,21may1982,08jun1982,22jun1982,375,527,691,894,.0141687136091938,.1706808112511181,.5545894872678061,.1670000887723324,.8975461238644519,.8796966877764724,2257,2316,0,14,14,51.297821,19.865452,9.4237347,1,,,
East Oroville,48.980461,-119.41203,5,Historical,bcc-csm1-1,1983,25may1983,04jun1983,18jun1983,371,534,694,816,.0128857730218822,.1838898728994229,.5617762666884354,.1597656811991448,.803887600452168,.7668776357300078,2449,2578,0,14,14,55.793854,27.68252,13.977612,1,,,
East Oroville,48.980461,-119.41203,6,Historical,bcc-csm1-1,1984,16may1984,06jun1984,20jun1984,370,528,682,856,.0125797706049876,.1725368800660678,.5328042326883653,.1579838190064852,.8576894509729053,.8305566193083351,2075,2135,0,14,14,62.319134,24.594179,14.246696,1,,,
East Oroville,48.980461,-119.41203,7,Historical,bcc-csm1-1,1985,29may1985,05jun1985,19jun1985,375,517,783,1009,.0141687136091938,.1527031120785534,.749668647654776,.1670000887723324,.9667152306592824,.9668434937438677,2632,2749,0,14,14,40.481052,14.996538,6.2544441,1,,,
East Oroville,48.980461,-119.41203,8,Historical,bcc-csm1-1,1986,26may1986,10jun1986,24jun1986,372,528,699,895,.0131975958148788,.1725368800660678,.5736624223446402,.1615582847413053,.8984591112794482,.8742829201398069,2301,2383,0,14,14,52.499374,20.662054,9.4269543,1,,,
East Oroville,48.980461,-119.41203,9,Historical,bcc-csm1-1,1987,01jun1987,20jun1987,04jul1987,372,527,666,934,.0131975958148788,.1706808112511181,.4933920505365734,.1615582847413053,.9292141821019472,.9068940597772556,2290,2485,0,14,14,50.508911,19.203617,8.9518805,1,,,
East Oroville,48.980461,-119.41203,10,Historical,bcc-csm1-1,1988,05jun1988,13jun1988,27jun1988,375,514,739,973,.0141687136091938,.147520581738373,.6636844476575565,.1670000887723324,.9517266442305533,.9570374376553189,2300,2350,0,14,14,46.900398,15.882823,6.1631165,1,,,
East Oroville,48.980461,-119.41203,11,Historical,bcc-csm1-1,1989,29may1989,07jun1989,21jun1989,372,518,823,1082,.0131975958148788,.1544524924564875,.8142321912231033,.1615582847413053,.9851104671169735,.9790186635869125,2781,2858,0,14,14,32.832573,13.554148,4.345891,1,,,
East Oroville,48.980461,-119.41203,12,Historical,bcc-csm1-1,1990,03jun1990,09jun1990,23jun1990,386,527,765,1037,.0182151552038505,.1706808112511181,.7163249110376377,.1877553713391024,.9753617079932876,.9742211128774214,2495,2539,0,14,14,42.536068,15.848072,6.4612727,1,,,
East Oroville,48.980461,-119.41203,13,Historical,bcc-csm1-1,1991,13jun1991,28jun1991,12jul1991,374,528,701,997,.0138389932426956,.1725368800660678,.5783830754215209,.1651755351451852,.9622519585256273,.9410516203620491,1927,1950,0,14,14,55.810585,16.725761,9.6238384,1,,,
East Oroville,48.980461,-119.41203,14,Historical,bcc-csm1-1,1992,13may1992,27may1992,10jun1992,375,523,689,904,.0141687136091938,.1633615847384016,.5497765799152377,.1670000887723324,.9063826242649102,.8958524146896473,2350,2428,0,14,14,54.124767,18.420675,9.4453964,1,,,
East Oroville,48.980461,-119.41203,15,Historical,bcc-csm1-1,1993,27may1993,11jun1993,25jun1993,375,523,696,969,.0141687136091938,.1633615847384016,.5665448638790693,.1670000887723324,.9497447803878905,.9392145708126275,2645,2806,0,14,14,41.209206,16.029434,6.6653786,1,,,
East Oroville,48.980461,-119.41203,16,Historical,bcc-csm1-1,1994,31may1994,19jun1994,03jul1994,371,530,745,1005,.0128857730218822,.1762801743775738,.6762815701016806,.1597656811991448,.9652821819898413,.9358819157895301,2248,2361,0,14,14,52.256992,18.392601,9.1340704,1,,,
East Oroville,48.980461,-119.41203,17,Historical,bcc-csm1-1,1995,31may1995,11jun1995,25jun1995,376,536,858,1127,.0145045457879922,.1877553713391024,.8600496573216805,.1688351972932566,.9912111499099809,.9577864300761429,2507,2646,0,14,14,33.371658,16.427765,5.5969286,1,,,
East Oroville,48.980461,-119.41203,18,Historical,bcc-csm1-1,1996,27may1996,08jun1996,22jun1996,378,530,743,964,.0151948384005804,.1762801743775738,.6721114924263442,.1725368800660678,.9471689623573216,.9282308296452352,2622,2720,0,14,14,39.240742,16.633476,6.4456911,1,,,
East Oroville,48.980461,-119.41203,19,Historical,bcc-csm1-1,1997,29may1997,09jun1997,23jun1997,375,525,821,1114,.0141687136091938,.1670000887723324,.8113175798291371,.1670000887723324,.98974150228169,.9755727886724962,2932,3022,0,14,14,34.131336,13.845224,4.6843705,1,,,
East Oroville,48.980461,-119.41203,20,Historical,bcc-csm1-1,1998,28may1998,11jun1998,25jun1998,371,521,804,1044,.0128857730218822,.1597656811991448,.7852146674979585,.1597656811991448,.9771816211961784,.9642958481742961,2624,2799,0,14,14,38.112942,14.663149,5.7752299,1,,,
