"location","vicid","state_fips","fips","state","county","vic_km2"
"32.46875_-109.90625",110674,4,4009,"AZ","Graham County",40.72503
"32.46875_-109.96875",110673,4,4009,"AZ","Graham County",40.72503
"35.15625_-118.84375",150435,6,6029,"CA","Kern County",39.46226
"35.21875_-82.34375",151947,37,37149,"NC","Polk County",39.43185
"35.21875_-82.46875",151945,37,37089,"NC","Henderson County",39.43185
"35.28125_-82.34375",152875,37,37089,"NC","Henderson County",39.40139
"35.28125_-82.40625",152874,37,37089,"NC","Henderson County",39.40139
"35.28125_-82.46875",152873,37,37089,"NC","Henderson County",39.40139
"35.34375_-119.21875",153213,6,6029,"CA","Kern County",39.37089
"35.34375_-119.28125",153212,6,6029,"CA","Kern County",39.37089
"35.34375_-119.40625",153210,6,6029,"CA","Kern County",39.37089
"35.34375_-82.15625",153806,37,37149,"NC","Polk County",39.37089
"35.34375_-82.28125",153804,37,37149,"NC","Polk County",39.37089
"35.34375_-82.34375",153803,37,37089,"NC","Henderson County",39.37089
"35.34375_-82.40625",153802,37,37089,"NC","Henderson County",39.37089
"35.34375_-82.46875",153801,37,37089,"NC","Henderson County",39.37089
"35.40625_-119.40625",154138,6,6029,"CA","Kern County",39.34034
"35.40625_-82.28125",154732,37,37089,"NC","Henderson County",39.34034
"35.40625_-82.34375",154731,37,37089,"NC","Henderson County",39.34034
"35.40625_-82.40625",154730,37,37089,"NC","Henderson County",39.34034
"35.40625_-82.46875",154729,37,37089,"NC","Henderson County",39.34034
"35.46875_-82.34375",155659,37,37089,"NC","Henderson County",39.30974
"35.46875_-82.40625",155658,37,37089,"NC","Henderson County",39.30974
"35.46875_-82.46875",155657,37,37021,"NC","Buncombe County",39.30974
"35.53125_-119.28125",155996,6,6029,"CA","Kern County",39.27909
"35.53125_-82.09375",156591,37,37161,"NC","Rutherford County",39.27909
"35.53125_-82.40625",156586,37,37021,"NC","Buncombe County",39.27909
"35.59375_-119.15625",156926,6,6029,"CA","Kern County",39.2484
"35.59375_-119.21875",156925,6,6029,"CA","Kern County",39.2484
"35.59375_-119.28125",156924,6,6029,"CA","Kern County",39.2484
"35.59375_-119.34375",156923,6,6029,"CA","Kern County",39.2484
"35.65625_-119.15625",157854,6,6029,"CA","Kern County",39.21766
"35.65625_-119.21875",157853,6,6029,"CA","Kern County",39.21766
"35.65625_-119.28125",157852,6,6029,"CA","Kern County",39.21766
"35.65625_-119.34375",157851,6,6029,"CA","Kern County",39.21766
"35.65625_-120.84375",157827,6,6079,"CA","San Luis Obispo County",39.21766
"35.71875_-119.21875",158781,6,6029,"CA","Kern County",39.18688
"35.71875_-119.34375",158779,6,6029,"CA","Kern County",39.18688
"35.84375_-119.09375",160639,6,6107,"CA","Tulare County",39.12517
"35.84375_-119.15625",160638,6,6107,"CA","Tulare County",39.12517
"35.84375_-119.21875",160637,6,6107,"CA","Tulare County",39.12517
"35.90625_-119.15625",161566,6,6107,"CA","Tulare County",39.09424
"35.90625_-119.21875",161565,6,6107,"CA","Tulare County",39.09424
"35.90625_-119.28125",161564,6,6107,"CA","Tulare County",39.09424
"35.90625_-82.15625",162158,37,37199,"NC","Yancey County",39.09424
"35.96875_-119.09375",162495,6,6107,"CA","Tulare County",39.06327
"35.96875_-119.15625",162494,6,6107,"CA","Tulare County",39.06327
"35.96875_-119.21875",162493,6,6107,"CA","Tulare County",39.06327
"35.96875_-119.28125",162492,6,6107,"CA","Tulare County",39.06327
"36.03125_-119.09375",163423,6,6107,"CA","Tulare County",39.03225
"36.03125_-119.15625",163422,6,6107,"CA","Tulare County",39.03225
"36.03125_-119.21875",163421,6,6107,"CA","Tulare County",39.03225
"36.03125_-119.34375",163419,6,6107,"CA","Tulare County",39.03225
"36.03125_-81.21875",164029,37,37003,"NC","Alexander County",39.03225
"36.09375_-119.09375",164351,6,6107,"CA","Tulare County",39.00119
"36.09375_-119.15625",164350,6,6107,"CA","Tulare County",39.00119
"36.09375_-119.21875",164349,6,6107,"CA","Tulare County",39.00119
"36.09375_-119.34375",164347,6,6107,"CA","Tulare County",39.00119
"36.09375_-81.09375",164959,37,37193,"NC","Wilkes County",39.00119
"36.15625_-119.03125",165280,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.09375",165279,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.15625",165278,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.21875",165277,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.28125",165276,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.34375",165275,6,6107,"CA","Tulare County",38.97008
"36.15625_-119.40625",165274,6,6107,"CA","Tulare County",38.97008
"36.21875_-119.09375",166207,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.15625",166206,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.21875",166205,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.28125",166204,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.34375",166203,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.40625",166202,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.46875",166201,6,6107,"CA","Tulare County",38.93892
"36.21875_-119.53125",166200,6,6031,"CA","Kings County",38.93892
"36.21875_-119.59375",166199,6,6031,"CA","Kings County",38.93892
"36.21875_-119.71875",166197,6,6031,"CA","Kings County",38.93892
"36.21875_-119.78125",166196,6,6031,"CA","Kings County",38.93892
"36.21875_-119.84375",166195,6,6031,"CA","Kings County",38.93892
"36.28125_-119.09375",167135,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.15625",167134,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.21875",167133,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.28125",167132,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.34375",167131,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.40625",167130,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.46875",167129,6,6107,"CA","Tulare County",38.90772
"36.28125_-119.53125",167128,6,6031,"CA","Kings County",38.90772
"36.28125_-119.59375",167127,6,6031,"CA","Kings County",38.90772
"36.28125_-119.65625",167126,6,6031,"CA","Kings County",38.90772
"36.28125_-119.71875",167125,6,6031,"CA","Kings County",38.90772
"36.28125_-119.78125",167124,6,6031,"CA","Kings County",38.90772
"36.28125_-119.84375",167123,6,6031,"CA","Kings County",38.90772
"36.34375_-119.09375",168063,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.15625",168062,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.21875",168061,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.28125",168060,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.34375",168059,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.40625",168058,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.46875",168057,6,6107,"CA","Tulare County",38.87647
"36.34375_-119.53125",168056,6,6031,"CA","Kings County",38.87647
"36.34375_-119.59375",168055,6,6031,"CA","Kings County",38.87647
"36.34375_-119.65625",168054,6,6031,"CA","Kings County",38.87647
"36.34375_-119.71875",168053,6,6031,"CA","Kings County",38.87647
"36.34375_-119.78125",168052,6,6031,"CA","Kings County",38.87647
"36.34375_-119.84375",168051,6,6031,"CA","Kings County",38.87647
"36.40625_-119.09375",168991,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.15625",168990,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.21875",168989,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.28125",168988,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.34375",168987,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.40625",168986,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.46875",168985,6,6107,"CA","Tulare County",38.84517
"36.40625_-119.53125",168984,6,6031,"CA","Kings County",38.84517
"36.40625_-119.59375",168983,6,6031,"CA","Kings County",38.84517
"36.40625_-119.65625",168982,6,6031,"CA","Kings County",38.84517
"36.40625_-119.71875",168981,6,6031,"CA","Kings County",38.84517
"36.40625_-119.78125",168980,6,6019,"CA","Fresno County",38.84517
"36.40625_-119.84375",168979,6,6019,"CA","Fresno County",38.84517
"36.40625_-119.90625",168978,6,6019,"CA","Fresno County",38.84517
"36.40625_-121.34375",168955,6,6053,"CA","Monterey County",38.84517
"36.40625_-121.40625",168954,6,6053,"CA","Monterey County",38.84517
"36.46875_-119.15625",169918,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.21875",169917,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.28125",169916,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.34375",169915,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.40625",169914,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.46875",169913,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.53125",169912,6,6107,"CA","Tulare County",38.81383
"36.46875_-119.59375",169911,6,6031,"CA","Kings County",38.81383
"36.46875_-119.65625",169910,6,6019,"CA","Fresno County",38.81383
