"fips","state","county","unique_locations"
4003,"AZ","Cochise County",10
4009,"AZ","Graham County",20
13215,"GA","Muscogee County",1
13145,"GA","Harris County",2
13263,"GA","Talbot County",4
35035,"NM","Otero County",4
1021,"AL","Chilton County",8
1007,"AL","Bibb County",1
13199,"GA","Meriwether County",5
1123,"AL","Tallapoosa County",1
13285,"GA","Troup County",1
13293,"GA","Upson County",1
1037,"AL","Coosa County",1
1117,"AL","Shelby County",4
13077,"GA","Coweta County",3
13113,"GA","Fayette County",6
13255,"GA","Spalding County",2
13151,"GA","Henry County",3
35027,"NM","Lincoln County",2
13149,"GA","Heard County",1
6059,"CA","Orange County",3
13045,"GA","Carroll County",2
1029,"AL","Cleburne County",2
13121,"GA","Fulton County",5
13211,"GA","Morgan County",1
13133,"GA","Greene County",4
13143,"GA","Haralson County",3
13089,"GA","DeKalb County",2
6065,"CA","Riverside County",1
1009,"AL","Blount County",1
13223,"GA","Paulding County",1
13219,"GA","Oconee County",2
13013,"GA","Barrow County",1
13221,"GA","Oglethorpe County",1
13067,"GA","Cobb County",1
13135,"GA","Gwinnett County",3
6071,"CA","San Bernardino County",2
1055,"AL","Etowah County",1
13015,"GA","Bartow County",3
6111,"CA","Ventura County",5
1043,"AL","Cullman County",2
13057,"GA","Cherokee County",3
13117,"GA","Forsyth County",1
1095,"AL","Marshall County",1
13085,"GA","Dawson County",5
6083,"CA","Santa Barbara County",42
13055,"GA","Chattooga County",1
13129,"GA","Gordon County",3
13227,"GA","Pickens County",6
13139,"GA","Hall County",2
1103,"AL","Morgan County",2
1019,"AL","Cherokee County",1
13187,"GA","Lumpkin County",1
13137,"GA","Habersham County",4
13257,"GA","Stephens County",1
6037,"CA","Los Angeles County",1
1089,"AL","Madison County",3
13123,"GA","Gilmer County",19
13311,"GA","White County",4
1071,"AL","Jackson County",5
1049,"AL","DeKalb County",2
13313,"GA","Whitfield County",5
13213,"GA","Murray County",4
13111,"GA","Fannin County",13
13291,"GA","Union County",5
13241,"GA","Rabun County",10
6079,"CA","San Luis Obispo County",54
6029,"CA","Kern County",145
37007,"NC","Anson County",2
1077,"AL","Lauderdale County",1
13047,"GA","Catoosa County",1
37099,"NC","Jackson County",4
37153,"NC","Richmond County",1
37175,"NC","Transylvania County",13
45045,"SC","Greenville County",4
37089,"NC","Henderson County",22
37149,"NC","Polk County",15
37161,"NC","Rutherford County",32
37167,"NC","Stanly County",1
37045,"NC","Cleveland County",8
37071,"NC","Gaston County",1
37021,"NC","Buncombe County",16
37109,"NC","Lincoln County",3
37025,"NC","Cabarrus County",1
37087,"NC","Haywood County",2
37111,"NC","McDowell County",25
37159,"NC","Rowan County",10
37101,"NC","Johnston County",1
37023,"NC","Burke County",21
37035,"NC","Catawba County",7
37097,"NC","Iredell County",19
37183,"NC","Wake County",1
37027,"NC","Caldwell County",17
37057,"NC","Davidson County",2
6053,"CA","Monterey County",57
6031,"CA","Kings County",70
6107,"CA","Tulare County",105
35033,"NM","Mora County",1
37199,"NC","Yancey County",8
37003,"NC","Alexander County",17
37059,"NC","Davie County",10
37121,"NC","Mitchell County",7
37011,"NC","Avery County",6
37193,"NC","Wilkes County",42
6019,"CA","Fresno County",178
37197,"NC","Yadkin County",17
37041,"NC","Chowan County",4
37189,"NC","Watauga County",12
37067,"NC","Forsyth County",2
37143,"NC","Perquimans County",6
37139,"NC","Pasquotank County",5
6069,"CA","San Benito County",23
37009,"NC","Ashe County",16
37171,"NC","Surry County",33
37169,"NC","Stokes County",11
37029,"NC","Camden County",2
47091,"TN","Johnson County",1
37005,"NC","Alleghany County",13
37053,"NC","Currituck County",1
37157,"NC","Rockingham County",1
47073,"TN","Hawkins County",1
47163,"TN","Sullivan County",2
51077,"VA","Grayson County",12
51035,"VA","Carroll County",28
51141,"VA","Patrick County",25
21053,"KY","Clinton County",6
51191,"VA","Washington County",16
51640,"VA","Galax City",1
51089,"VA","Henry County",2
51143,"VA","Pittsylvania County",5
51105,"VA","Lee County",1
51169,"VA","Scott County",1
51173,"VA","Smyth County",6
51083,"VA","Halifax County",4
6039,"CA","Madera County",61
51063,"VA","Floyd County",12
51197,"VA","Wythe County",10
51067,"VA","Franklin County",19
6087,"CA","Santa Cruz County",9
6047,"CA","Merced County",99
51195,"VA","Wise County",1
51167,"VA","Russell County",13
51155,"VA","Pulaski County",1
6085,"CA","Santa Clara County",21
21207,"KY","Russell County",5
51183,"VA","Sussex County",3
8083,"CO","Montezuma County",1
21169,"KY","Metcalfe County",1
51185,"VA","Tazewell County",10
51135,"VA","Nottoway County",1
51181,"VA","Surry County",10
6081,"CA","San Mateo County",13
51051,"VA","Dickenson County",2
51021,"VA","Bland County",3
51121,"VA","Montgomery County",2
21001,"KY","Adair County",1
51027,"VA","Buchanan County",12
51161,"VA","Roanoke County",5
51037,"VA","Charlotte County",2
51199,"VA","York County",2
6043,"CA","Mariposa County",5
17153,"IL","Pulaski County",1
21045,"KY","Casey County",10
51031,"VA","Campbell County",5
51095,"VA","James City County",4
6099,"CA","Stanislaus County",80
54055,"WV","Mercer County",7
51071,"VA","Giles County",4
51019,"VA","Bedford County",4
51011,"VA","Appomattox County",15
17181,"IL","Union County",5
54047,"WV","McDowell County",6
51023,"VA","Botetourt County",15
51009,"VA","Amherst County",15
54109,"WV","Wyoming County",6
54089,"WV","Summers County",1
51045,"VA","Craig County",1
6001,"CA","Alameda County",12
54063,"WV","Monroe County",1
51029,"VA","Buckingham County",1
6077,"CA","San Joaquin County",92
17087,"IL","Johnson County",1
21155,"KY","Marion County",1
21021,"KY","Boyle County",2
54081,"WV","Raleigh County",11
51125,"VA","Nelson County",18
17077,"IL","Jackson County",1
54059,"WV","Mingo County",1
21167,"KY","Mercer County",2
51005,"VA","Alleghany County",4
51163,"VA","Rockbridge County",4
6013,"CA","Contra Costa County",17
6009,"CA","Calaveras County",10
54045,"WV","Logan County",1
21239,"KY","Woodford County",2
54005,"WV","Boone County",2
51015,"VA","Augusta County",16
51003,"VA","Albemarle County",19
6041,"CA","Marin County",5
6109,"CA","Tuolumne County",1
8113,"CO","San Miguel County",1
54019,"WV","Fayette County",4
6067,"CA","Sacramento County",62
6097,"CA","Sonoma County",20
6095,"CA","Solano County",45
51137,"VA","Orange County",4
6055,"CA","Napa County",40
6005,"CA","Amador County",9
8101,"CO","Pueblo County",1
24037,"MD","Saint Mary's County",1
54067,"WV","Nicholas County",8
51113,"VA","Madison County",8
6113,"CA","Yolo County",66
18051,"IN","Gibson County",1
54075,"WV","Pocahontas County",2
51165,"VA","Rockingham County",14
51079,"VA","Greene County",1
51047,"VA","Culpeper County",10
8085,"CO","Montrose County",5
8043,"CO","Fremont County",3
17133,"IL","Monroe County",1
17163,"IL","Saint Clair County",4
18125,"IN","Pike County",1
51139,"VA","Page County",9
54071,"WV","Pendleton County",5
51157,"VA","Rappahannock County",13
6017,"CA","El Dorado County",8
18083,"IN","Knox County",4
21081,"KY","Grant County",2
10005,"DE","Sussex County",19
6033,"CA","Lake County",16
6061,"CA","Placer County",24
8077,"CO","Mesa County",25
8029,"CO","Delta County",30
17119,"IL","Madison County",1
54083,"WV","Randolph County",4
51171,"VA","Shenandoah County",18
51061,"VA","Fauquier County",15
24011,"MD","Caroline County",11
6101,"CA","Sutter County",41
51187,"VA","Warren County",14
24041,"MD","Talbot County",4
51153,"VA","Prince William County",1
51059,"VA","Fairfax County",1
10001,"DE","Kent County",37
17013,"IL","Calhoun County",3
21117,"KY","Kenton County",1
54031,"WV","Hardy County",20
51107,"VA","Loudoun County",20
6011,"CA","Colusa County",55
6115,"CA","Yuba County",24
8051,"CO","Gunnison County",2
29107,"MO","Lafayette County",2
54023,"WV","Grant County",9
51069,"VA","Frederick County",32
51043,"VA","Clarke County",12
24035,"MD","Queen Anne's County",6
29095,"MO","Jackson County",3
29195,"MO","Saline County",1
17083,"IL","Jersey County",1
24031,"MD","Montgomery County",11
24029,"MD","Kent County",2
8097,"CO","Pitkin County",1
29177,"MO","Ray County",1
54027,"WV","Hampshire County",32
54037,"WV","Jefferson County",13
24027,"MD","Howard County",9
34009,"NJ","Cape May County",1
29033,"MO","Carroll County",1
39071,"OH","Highland County",1
39141,"OH","Ross County",1
54057,"WV","Mineral County",12
54003,"WV","Berkeley County",23
24021,"MD","Frederick County",36
34011,"NJ","Cumberland County",9
6007,"CA","Butte County",60
17061,"IL","Greene County",1
10003,"DE","New Castle County",2
34001,"NJ","Atlantic County",5
6021,"CA","Glenn County",46
24043,"MD","Washington County",30
24013,"MD","Carroll County",29
24005,"MD","Baltimore County",9
24023,"MD","Garrett County",1
54065,"WV","Morgan County",15
54077,"WV","Preston County",2
24001,"MD","Allegany County",11
34033,"NJ","Salem County",9
34015,"NJ","Gloucester County",17
17021,"IL","Christian County",5
6091,"CA","Sierra County",1
39045,"OH","Fairfield County",6
24015,"MD","Cecil County",2
34007,"NJ","Camden County",7
17149,"IL","Pike County",1
42133,"PA","York County",45
24025,"MD","Harford County",4
49023,"UT","Juab County",3
20043,"KS","Doniphan County",1
29021,"MO","Buchanan County",1
17001,"IL","Adams County",9
17137,"IL","Morgan County",1
42055,"PA","Franklin County",21
42001,"PA","Adams County",30
42071,"PA","Lancaster County",16
42029,"PA","Chester County",4
6103,"CA","Tehama County",47
42009,"PA","Bedford County",11
49049,"UT","Utah County",20
29003,"MO","Andrew County",11
17009,"IL","Brown County",8
34005,"NJ","Burlington County",1
29087,"MO","Holt County",1
17017,"IL","Cass County",1
17129,"IL","Menard County",6
18065,"IN","Henry County",2
39049,"OH","Franklin County",1
39089,"OH","Licking County",5
42051,"PA","Fayette County",1
42041,"PA","Cumberland County",27
6063,"CA","Plumas County",1
6035,"CA","Lassen County",16
17169,"IL","Schuyler County",1
17125,"IL","Mason County",4
39021,"OH","Champaign County",1
39119,"OH","Muskingum County",1
42011,"PA","Berks County",23
29147,"MO","Nodaway County",2
17067,"IL","Hancock County",7
17057,"IL","Fulton County",16
39159,"OH","Union County",6
39041,"OH","Delaware County",3
42061,"PA","Huntingdon County",3
42091,"PA","Montgomery County",6
