stage,generation,shape,scale,gddlow,gddhigh
Egg,1,3.506556,635.957389,0,1159
Egg,2,7.870788,1838.63878,1159,2314
Egg,3,10.76041,3030.12551,2314,3491
Egg,4,15.43351,4189.16235,3491,4647
Larva,1,4.42486,794.94687,228,1234
Larva,2,8.498947,1995.2718,1234,2475
Larva,3,11.51428,3182.501,2475,3684
Larva,4,16.0801,4349.76614,3684,4765
Pupa,1,1.270507,231.147178,0,742
Pupa,2,6.387198,1448.24607,742,1940
Pupa,3,9.777329,2638.52798,1940,3128
Pupa,4,14.28125,3795.85603,3128,4347
Adult,1,2.877741,531.441929,0,998
Adult,2,7.458859,1736.65494,998,2218
Adult,3,10.43142,2928.34925,2218,3427
Adult,4,15.0675,4092.77675,3427,4647
