"latitude","longitude","locationGroup"
"43.53125","-116.59375","2"
"43.59375","-116.78125","2"
"43.59375","-116.84375","2"
"43.65625","-116.84375","2"
"45.53125","-121.59375","1"
"45.59375","-121.53125","1"
"45.59375","-121.65625","1"
"45.65625","-121.15625","1"
"45.65625","-121.46875","1"
"45.65625","-121.53125","1"
"45.65625","-121.59375","1"
"45.71875","-120.21875","2"
"45.71875","-120.34375","2"
"45.84375","-119.84375","2"
"45.84375","-119.90625","2"
"45.90625","-119.40625","2"
"45.96875","-119.09375","2"
"45.96875","-119.34375","2"
"45.96875","-119.46875","2"
"45.96875","-119.59375","2"
"45.96875","-119.90625","2"
"45.96875","-119.96875","2"
"46.03125","-119.84375","2"
"46.03125","-119.90625","2"
"46.09375","-118.78125","2"
"46.09375","-118.84375","2"
"46.09375","-118.90625","2"
"46.09375","-118.96875","2"
"46.15625","-118.90625","2"
"46.15625","-119.03125","2"
"46.15625","-119.09375","2"
"46.21875","-118.84375","2"
"46.21875","-118.90625","2"
"46.21875","-118.96875","2"
"46.21875","-119.03125","2"
"46.21875","-119.28125","2"
"46.21875","-119.34375","2"
"46.21875","-119.40625","2"
"46.21875","-119.46875","2"
"46.21875","-119.71875","2"
"46.21875","-119.78125","2"
"46.21875","-119.84375","2"
"46.21875","-119.90625","2"
"46.21875","-119.96875","2"
"46.21875","-120.15625","2"
"46.28125","-117.90625","1"
"46.28125","-118.84375","2"
"46.28125","-118.90625","2"
"46.28125","-118.96875","2"
"46.28125","-119.09375","2"
"46.28125","-119.34375","2"
"46.28125","-119.40625","2"
"46.28125","-119.46875","2"
"46.28125","-119.53125","2"
"46.28125","-119.59375","2"
"46.28125","-119.65625","2"
"46.28125","-119.71875","2"
"46.28125","-119.78125","2"
"46.28125","-119.84375","2"
"46.28125","-119.90625","2"
"46.28125","-119.96875","2"
"46.28125","-120.59375","1"
"46.28125","-120.65625","1"
"46.34375","-118.65625","2"
"46.34375","-118.71875","2"
"46.34375","-118.78125","2"
"46.34375","-119.09375","2"
"46.34375","-119.15625","2"
"46.34375","-119.21875","2"
"46.34375","-119.53125","2"
"46.34375","-119.59375","2"
"46.34375","-119.90625","2"
"46.34375","-119.96875","2"
"46.34375","-120.03125","2"
"46.34375","-120.09375","2"
"46.34375","-120.15625","2"
"46.34375","-120.46875","2"
"46.34375","-120.53125","2"
"46.34375","-120.59375","2"
"46.34375","-120.65625","2"
"46.40625","-118.59375","2"
"46.40625","-118.65625","2"
"46.40625","-118.71875","2"
"46.40625","-118.78125","2"
"46.40625","-119.15625","2"
"46.40625","-119.21875","2"
"46.40625","-119.96875","2"
"46.40625","-120.03125","2"
"46.40625","-120.09375","2"
"46.40625","-120.15625","2"
"46.40625","-120.21875","2"
"46.40625","-120.28125","2"
"46.40625","-120.34375","2"
"46.40625","-120.40625","2"
"46.40625","-120.46875","2"
"46.40625","-120.53125","2"
"46.46875","-119.15625","2"
"46.46875","-119.21875","2"
"46.46875","-120.09375","1"
"46.46875","-120.21875","1"
"46.46875","-120.28125","2"
"46.46875","-120.34375","2"
"46.46875","-120.40625","2"
"46.46875","-120.46875","2"
"46.46875","-120.53125","2"
"46.46875","-120.59375","2"
"46.46875","-120.65625","1"
"46.53125","-119.09375","2"
"46.53125","-119.15625","2"
"46.53125","-119.21875","2"
"46.53125","-119.78125","2"
"46.53125","-119.84375","2"
"46.53125","-120.09375","1"
"46.53125","-120.15625","1"
"46.53125","-120.28125","1"
"46.53125","-120.34375","2"
"46.53125","-120.40625","2"
"46.53125","-120.46875","2"
"46.53125","-120.53125","2"
"46.53125","-120.59375","1"
"46.53125","-120.65625","1"
"46.53125","-120.71875","1"
"46.53125","-120.78125","1"
"46.53125","-120.84375","1"
"46.59375","-119.03125","2"
"46.59375","-119.09375","2"
"46.59375","-119.15625","2"
"46.59375","-119.21875","2"
"46.59375","-119.28125","2"
"46.59375","-119.78125","2"
"46.59375","-120.34375","1"
"46.59375","-120.40625","2"
