"","stage","generation","shape","scale","gddlow","gddhigh"
"1","Egg",1,3.506556,594.3527,0,1083
"2","Egg",2,7.870788,1718.354,1083,2163
"3","Egg",3,10.76041,2831.893,2163,3263
"4","Egg",4,15.43351,3915.105,3263,4343
"5","Larva",1,4.42486,742.941,213,1153
"6","Larva",2,8.498947,1864.74,1153,2313
"7","Larva",3,11.51428,2974.3,2313,3443
"8","Larva",4,16.0801,4065.202,3443,4453
"9","Pupa",1,1.270507,216.0254,0,693
"10","Pupa",2,6.387198,1353.501,693,1813
"11","Pupa",3,9.777329,2465.914,1813,2923
"12","Pupa",4,14.28125,3547.529,2923,4063
"13","Adult",1,2.877741,496.6747,0,933
"14","Adult",2,7.458859,1623.042,933,2073
"15","Adult",3,10.43142,2736.775,2073,3203
"16","Adult",4,15.0675,3825.025,3203,4343
