,stage,generation,shape,scale,gddlow,gddhigh
1,Egg,1,3.506556,594.3527,0,1137.15
2,Egg,2,7.870788,1718.354,1137.15,2271.15
3,Egg,3,10.76041,2831.893,2271.15,3426.15
4,Egg,4,15.43351,3915.105,3426.15,4560.15
5,Larva,1,4.42486,742.941,213,1200
6,Larva,2,8.498947,1864.74,1200,2418
7,Larva,3,11.51428,2974.3,2418,3604.5
8,Larva,4,16.0801,4065.202,3604.5,4665
9,Pupa,1,1.270507,216.0254,0,727.65
10,Pupa,2,6.387198,1353.501,727.65,1903.65
11,Pupa,3,9.777329,2465.914,1903.65,3069.15
12,Pupa,4,14.28125,3547.529,3069.15,4266.15
13,Adult,1,2.877741,496.6747,0,979.65
14,Adult,2,7.458859,1623.042,979.65,2176.65
15,Adult,3,10.43142,2736.775,2176.65,3363.15
16,Adult,4,15.0675,3825.025,3363.15,4560.15
