,stage,gddlow,gddhigh,gdd_low_new,gdd_hi_new,diff,Diff 14%,Diff 15%
1,Egg,0,1083,0,1245.45,1083,151.62,162.45
2,Egg,1083,2163,1234.2,2325,1080,151.2,162
3,Egg,2163,3263,2314.2,3428,1100,154,165
4,Egg,3263,4343,3417,4505,1080,151.2,162
5,Larva,213,1153,213,1294,940,131.6,141
6,Larva,1153,2313,1284.6,2487,1160,162.4,174
7,Larva,2313,3443,2475.4,3612.5,1130,158.2,169.5
8,Larva,3443,4453,3601.2,4604.5,1010,141.4,151.5
9,Pupa,0,693,0,796.95,693,97.02,103.95
10,Pupa,693,1813,790.02,1981,1120,156.8,168
11,Pupa,1813,2923,1969.8,3089.5,1110,155.4,166.5
12,Pupa,2923,4063,3078.4,4234,1140,159.6,171
13,Adult,0,933,0,1072.95,933,130.62,139.95
14,Adult,933,2073,1063.62,2244,1140,159.6,171
15,Adult,2073,3203,2232.6,3372.5,1130,158.2,169.5
16,Adult,3203,4343,3361.2,4514,1140,159.6,171
