,stage,gddlow,gddhigh,gddlow_new,gddhigh_new,diff,Diff 19%,Diff 20%
1,Egg,0,1083,0,1299.6,1083,205.77,216.6
2,Egg,1083,2163,1288.2,2379,1080,205.2,216
3,Egg,2163,3263,2368.2,3483,1100,209,220
4,Egg,3263,4343,3472,4559,1080,205.2,216
5,Larva,213,1153,213,1341,940,178.6,188
6,Larva,1153,2313,1331.6,2545,1160,220.4,232
7,Larva,2313,3443,2533.4,3669,1130,214.7,226
8,Larva,3443,4453,3657.7,4655,1010,191.9,202
9,Pupa,0,693,0,831.6,693,131.67,138.6
10,Pupa,693,1813,824.67,2037,1120,212.8,224
11,Pupa,1813,2923,2025.8,3145,1110,210.9,222
12,Pupa,2923,4063,3133.9,4291,1140,216.6,228
13,Adult,0,933,0,1119.6,933,177.27,186.6
14,Adult,933,2073,1110.27,2301,1140,216.6,228
15,Adult,2073,3203,2289.6,3429,1130,214.7,226
16,Adult,3203,4343,3417.7,4571,1140,216.6,228
