"shift","45_Larva_Aug_2040","45_Adult_Aug_2040","45_Larva_Nov_2040","45_Adult_Nov_2040"
"0",2.5,2.83,3.34,3.67
"0.01",2.42,2.75,3.26,3.56
"0.02",2.35,2.68,3.2,3.46
"0.03",2.29,2.6,3.15,3.36
"0.04",2.24,2.53,3.11,3.29
"0.05",2.2,2.46,3.08,3.22
"0.06",2.16,2.39,3.06,3.17
"0.07",2.13,2.34,3.03,3.13
"0.08",2.11,2.29,3,3.1
"0.09",2.09,2.24,2.96,3.08
"0.1",2.07,2.21,2.91,3.05
"0.11",2.06,2.17,2.84,3.03
"0.12",2.05,2.15,2.77,3
"0.13",2.03,2.12,2.7,2.96
"0.14",2.02,2.1,2.62,2.92
"0.15",2,2.09,2.55,2.87
"0.16",1.98,2.07,2.48,2.81
"0.17",1.95,2.06,2.41,2.75
"0.18",1.92,2.05,2.35,2.68
"0.19",1.89,2.04,2.3,2.61
"0.2",1.84,2.03,2.26,2.55
