"shift","85_Larva_Aug_2040","85_Adult_Aug_2040","85_Larva_Nov_2040","85_Adult_Nov_2040"
"0",2.09,2.23,2.95,3.07
"0.01",2.07,2.2,2.89,3.05
"0.02",2.05,2.16,2.82,3.02
"0.03",2.04,2.13,2.74,2.98
"0.04",2.02,2.11,2.65,2.94
"0.05",2.01,2.09,2.57,2.89
"0.06",1.99,2.08,2.49,2.82
"0.07",1.96,2.06,2.42,2.75
"0.08",1.92,2.05,2.36,2.68
"0.09",1.88,2.04,2.3,2.61
"0.1",1.84,2.03,2.25,2.54
"0.11",1.79,2.01,2.21,2.47
"0.12",1.73,2,2.17,2.41
"0.13",1.68,1.98,2.14,2.36
"0.14",1.62,1.95,2.12,2.31
"0.15",1.57,1.92,2.1,2.26
"0.16",1.51,1.89,2.08,2.22
"0.17",1.46,1.85,2.07,2.19
"0.18",1.41,1.81,2.05,2.16
"0.19",1.37,1.77,2.04,2.14
"0.2",1.33,1.72,2.03,2.12
