"shift","45_Larva_Aug_2060","45_Adult_Aug_2060","45_Larva_Nov_2060","45_Adult_Nov_2060"
"0",2.71,2.97,3.59,3.9
"0.01",2.62,2.92,3.48,3.81
"0.02",2.54,2.86,3.38,3.71
"0.03",2.46,2.79,3.29,3.61
"0.04",2.39,2.72,3.23,3.5
"0.05",2.33,2.65,3.17,3.41
"0.06",2.27,2.57,3.13,3.33
"0.07",2.23,2.5,3.1,3.26
"0.08",2.19,2.44,3.07,3.2
"0.09",2.15,2.38,3.05,3.16
"0.1",2.13,2.32,3.02,3.12
"0.11",2.1,2.28,2.98,3.09
"0.12",2.08,2.23,2.94,3.07
"0.13",2.07,2.2,2.89,3.04
"0.14",2.06,2.17,2.82,3.02
"0.15",2.04,2.14,2.75,2.99
"0.16",2.03,2.12,2.68,2.95
"0.17",2.02,2.1,2.6,2.91
"0.18",2,2.09,2.53,2.86
"0.19",1.98,2.07,2.46,2.8
"0.2",1.95,2.06,2.4,2.74
