"shift","85_Larva_Aug_2060","85_Adult_Aug_2060","85_Larva_Nov_2060","85_Adult_Nov_2060"
"0",2.26,2.56,3.14,3.35
"0.01",2.21,2.48,3.1,3.27
"0.02",2.17,2.41,3.07,3.21
"0.03",2.14,2.35,3.05,3.16
"0.04",2.11,2.3,3.02,3.12
"0.05",2.09,2.25,2.98,3.09
"0.06",2.08,2.21,2.94,3.07
"0.07",2.06,2.18,2.88,3.04
"0.08",2.05,2.15,2.81,3.02
"0.09",2.03,2.12,2.74,2.98
"0.1",2.02,2.1,2.66,2.94
"0.11",2,2.09,2.58,2.89
"0.12",1.98,2.07,2.51,2.83
"0.13",1.95,2.06,2.44,2.77
"0.14",1.92,2.05,2.37,2.7
"0.15",1.88,2.04,2.32,2.63
"0.16",1.83,2.03,2.27,2.57
"0.17",1.79,2.01,2.23,2.5
"0.18",1.73,2,2.19,2.44
"0.19",1.68,1.98,2.16,2.39
"0.2",1.63,1.95,2.13,2.34
