ARRAYID,Location
1,data_45.59375_-122.53125
2,data_45.59375_-122.46875
3,data_45.59375_-122.40625
4,data_45.59375_-122.34375
5,data_45.59375_-122.28125
6,data_45.59375_-122.21875
7,data_45.59375_-122.15625
8,data_45.65625_-122.71875
9,data_45.65625_-122.65625
10,data_45.65625_-122.59375
11,data_45.65625_-122.53125
12,data_45.65625_-122.46875
13,data_45.65625_-122.40625
14,data_45.65625_-122.34375
15,data_45.65625_-122.28125
16,data_45.65625_-122.21875
17,data_45.65625_-122.15625
18,data_45.65625_-122.09375
19,data_45.65625_-122.03125
20,data_45.65625_-121.96875
21,data_45.65625_-121.15625
22,data_45.65625_-121.09375
23,data_45.65625_-121.03125
24,data_45.65625_-120.96875
25,data_45.65625_-120.90625
26,data_45.71875_-122.71875
27,data_45.71875_-122.65625
28,data_45.71875_-122.59375
29,data_45.71875_-122.53125
30,data_45.71875_-122.46875
31,data_45.71875_-122.40625
32,data_45.71875_-122.34375
33,data_45.71875_-122.28125
34,data_45.71875_-122.21875
35,data_45.71875_-122.15625
36,data_45.71875_-122.09375
37,data_45.71875_-122.03125
38,data_45.71875_-121.96875
39,data_45.71875_-121.90625
40,data_45.71875_-121.84375
41,data_45.71875_-121.78125
42,data_45.71875_-121.71875
43,data_45.71875_-121.65625
44,data_45.71875_-121.59375
45,data_45.71875_-121.46875
46,data_45.71875_-121.40625
47,data_45.71875_-121.34375
48,data_45.71875_-121.28125
49,data_45.71875_-121.21875
50,data_45.71875_-121.15625
51,data_45.71875_-121.09375
52,data_45.71875_-121.03125
53,data_45.71875_-120.96875
54,data_45.71875_-120.90625
55,data_45.71875_-120.84375
56,data_45.71875_-120.78125
57,data_45.71875_-120.71875
58,data_45.71875_-120.46875
59,data_45.71875_-120.40625
60,data_45.71875_-120.34375
61,data_45.78125_-122.71875
62,data_45.78125_-122.65625
63,data_45.78125_-122.59375
64,data_45.78125_-122.53125
65,data_45.78125_-122.46875
66,data_45.78125_-122.40625
67,data_45.78125_-122.34375
68,data_45.78125_-122.28125
69,data_45.78125_-122.21875
70,data_45.78125_-122.15625
71,data_45.78125_-122.09375
72,data_45.78125_-122.03125
73,data_45.78125_-121.96875
74,data_45.78125_-121.90625
75,data_45.78125_-121.84375
76,data_45.78125_-121.78125
