"Date","Season","jday","Location","T_mean","T_max","T_min","Observed_Hc_Prosser"
2009-09-07,"2009-2010",250,"Prosser",13.943094444,21.6606,6.225588888,NA
2009-09-08,"2009-2010",251,"Prosser",14.412519446,23.72666667,5.098372222,NA
2009-09-09,"2009-2010",252,"Prosser",17.129552778,26.43693889,7.822166666,NA
2009-09-10,"2009-2010",253,"Prosser",18.2443055565,27.48212778,9.006483333,NA
2009-09-11,"2009-2010",254,"Prosser",19.855688885,28.77633333,10.93504444,NA
2009-09-12,"2009-2010",255,"Prosser",21.137702775,31.54529444,10.73011111,NA
2009-09-13,"2009-2010",256,"Prosser",22.2273,33.09628333,11.35831667,NA
2009-09-14,"2009-2010",257,"Prosser",21.179769445,28.51525,13.84428889,NA
2009-09-15,"2009-2010",258,"Prosser",18.934344445,26.99062222,10.87806667,NA
2009-09-16,"2009-2010",259,"Prosser",21.456405555,30.60874444,12.30406667,NA
2009-09-17,"2009-2010",260,"Prosser",18.818719445,25.76373889,11.8737,NA
2009-09-18,"2009-2010",261,"Prosser",16.773611113,26.92890556,6.618316666,NA
2009-09-19,"2009-2010",262,"Prosser",16.650058333,25.445,7.855116666,NA
2009-09-20,"2009-2010",263,"Prosser",13.7118722215,22.24431111,5.179433333,NA
2009-09-21,"2009-2010",264,"Prosser",13.903341668,24.19646667,3.610216666,NA
2009-09-22,"2009-2010",265,"Prosser",17.2464444455,27.39272778,7.100161111,NA
2009-09-23,"2009-2010",266,"Prosser",19.7392055575,29.70295556,9.775455555,NA
2009-09-24,"2009-2010",267,"Prosser",21.115252775,31.26459444,10.96591111,NA
2009-09-25,"2009-2010",268,"Prosser",19.3974722215,29.49226111,9.302683333,NA
2009-09-26,"2009-2010",269,"Prosser",18.1090555565,28.22872778,7.989383333,NA
2009-09-27,"2009-2010",270,"Prosser",14.684630553,23.41864444,5.950616666,NA
2009-09-28,"2009-2010",271,"Prosser",13.64756389,23.22087778,4.07425,NA
2009-09-29,"2009-2010",272,"Prosser",10.394158335,16.92746667,3.86085,NA
2009-09-30,"2009-2010",273,"Prosser",8.6486361105,16.80986111,0.487411111,NA
2009-10-01,"2009-2010",274,"Prosser",11.330905556,19.47783889,3.183972222,NA
2009-10-02,"2009-2010",275,"Prosser",11.4816694455,17.97102778,4.992311111,NA
2009-10-03,"2009-2010",276,"Prosser",9.660783335,14.57181667,4.74975,NA
2009-10-04,"2009-2010",277,"Prosser",13.8551,17.37141667,10.33878333,NA
2009-10-05,"2009-2010",278,"Prosser",9.731069445,17.24778889,2.21435,NA
2009-10-06,"2009-2010",279,"Prosser",10.2754888865,19.90534444,0.645633333,NA
2009-10-07,"2009-2010",280,"Prosser",12.494486113,20.93320556,4.055766666,NA
2009-10-08,"2009-2010",281,"Prosser",10.663175001,17.63262778,3.693722222,-10.5545
2009-10-09,"2009-2010",282,"Prosser",8.7554722225,12.30268889,5.208255555,NA
2009-10-10,"2009-2010",283,"Prosser",5.631466666,9.501955555,1.760977777,NA
2009-10-11,"2009-2010",284,"Prosser",2.902747222,9.292455555,-3.486961111,NA
2009-10-12,"2009-2010",285,"Prosser",3.943688889,8.650961111,-0.763583333,NA
2009-10-13,"2009-2010",286,"Prosser",2.141119444,4.250044444,0.032194444,-11.11
2009-10-14,"2009-2010",287,"Prosser",10.179236113,16.63590556,3.722566666,NA
2009-10-15,"2009-2010",288,"Prosser",10.4722222205,15.81348333,5.130961111,NA
2009-10-16,"2009-2010",289,"Prosser",12.319291664,19.08929444,5.549288888,NA
2009-10-17,"2009-2010",290,"Prosser",14.776633333,21.61645,7.936816666,NA
2009-10-18,"2009-2010",291,"Prosser",13.0024333355,18.23365556,7.771211111,NA
2009-10-19,"2009-2010",292,"Prosser",12.2156583335,18.32838889,6.102927777,-11.6655
2009-10-20,"2009-2010",293,"Prosser",10.4789027765,16.64567222,4.312133333,NA
2009-10-21,"2009-2010",294,"Prosser",11.33890278,15.65145556,7.02635,NA
2009-10-22,"2009-2010",295,"Prosser",8.7856777755,15.29029444,2.281061111,NA
2009-10-23,"2009-2010",296,"Prosser",11.9348805565,17.74617778,6.123583333,NA
2009-10-24,"2009-2010",297,"Prosser",9.1440972225,15.98318889,2.305005555,NA
2009-10-25,"2009-2010",298,"Prosser",5.639166665,11.78308333,-0.50475,NA
2009-10-26,"2009-2010",299,"Prosser",9.357380556,16.42693889,2.287822222,-12.7765
2009-10-27,"2009-2010",300,"Prosser",6.5110722225,11.95403889,1.068105555,NA
2009-10-28,"2009-2010",301,"Prosser",3.303513889,9.822366666,-3.215338888,NA
2009-10-29,"2009-2010",302,"Prosser",5.187419444,6.781583333,3.593255555,NA
2009-10-30,"2009-2010",303,"Prosser",11.233836113,18.94150556,3.526166666,NA
2009-10-31,"2009-2010",304,"Prosser",11.915666666,18.18766111,5.643672222,NA
2009-11-01,"2009-2010",305,"Prosser",7.790969446,14.02866667,1.553272222,NA
2009-11-02,"2009-2010",306,"Prosser",4.197094445,10.58453889,-2.19035,-15.55
2009-11-03,"2009-2010",307,"Prosser",4.5892944435,11.14472222,-1.966133333,NA
2009-11-04,"2009-2010",308,"Prosser",5.076697221,11.33388333,-1.180488888,NA
2009-11-05,"2009-2010",309,"Prosser",5.867188889,12.2245,-0.490122222,NA
2009-11-06,"2009-2010",310,"Prosser",9.1018666685,11.88720556,6.316527777,NA
2009-11-07,"2009-2010",311,"Prosser",9.061608333,12.7824,5.340816666,NA
2009-11-08,"2009-2010",312,"Prosser",7.007544446,11.51361667,2.501472222,NA
2009-11-09,"2009-2010",313,"Prosser",3.358291667,7.551172222,-0.834588888,-17.78
2009-11-10,"2009-2010",314,"Prosser",8.0175138905,13.42436667,2.610661111,NA
2009-11-11,"2009-2010",315,"Prosser",3.6325444445,9.031661111,-1.766572222,NA
2009-11-12,"2009-2010",316,"Prosser",2.199597222,8.229244444,-3.83005,NA
