"Date","Season","jday","Location","T_mean","T_max","T_min","Observed_Hc"
2009-09-07,"2009-2010",250,"Prosser",13.9431,21.6606,6.2256,NA
2009-09-08,"2009-2010",251,"Prosser",14.4125,23.7267,5.0984,NA
2009-09-09,"2009-2010",252,"Prosser",17.1296,26.4369,7.8222,NA
2009-09-10,"2009-2010",253,"Prosser",18.2443,27.4821,9.0065,NA
2009-09-11,"2009-2010",254,"Prosser",19.8557,28.7763,10.935,NA
2009-09-12,"2009-2010",255,"Prosser",21.1377,31.5453,10.7301,NA
2009-09-13,"2009-2010",256,"Prosser",22.2273,33.0963,11.3583,NA
2009-09-14,"2009-2010",257,"Prosser",21.1798,28.5153,13.8443,NA
2009-09-15,"2009-2010",258,"Prosser",18.9343,26.9906,10.8781,NA
2009-09-16,"2009-2010",259,"Prosser",21.4564,30.6087,12.3041,NA
2009-09-17,"2009-2010",260,"Prosser",18.8187,25.7637,11.8737,NA
2009-09-18,"2009-2010",261,"Prosser",16.7736,26.9289,6.6183,NA
2009-09-19,"2009-2010",262,"Prosser",16.6501,25.445,7.8551,NA
2009-09-20,"2009-2010",263,"Prosser",13.7119,22.2443,5.1794,NA
2009-09-21,"2009-2010",264,"Prosser",13.9033,24.1965,3.6102,NA
2009-09-22,"2009-2010",265,"Prosser",17.2464,27.3927,7.1002,NA
2009-09-23,"2009-2010",266,"Prosser",19.7392,29.703,9.7755,NA
2009-09-24,"2009-2010",267,"Prosser",21.1153,31.2646,10.9659,NA
2009-09-25,"2009-2010",268,"Prosser",19.3975,29.4923,9.3027,NA
2009-09-26,"2009-2010",269,"Prosser",18.1091,28.2287,7.9894,NA
2009-09-27,"2009-2010",270,"Prosser",14.6846,23.4186,5.9506,NA
2009-09-28,"2009-2010",271,"Prosser",13.6476,23.2209,4.0743,NA
2009-09-29,"2009-2010",272,"Prosser",10.3942,16.9275,3.8609,NA
2009-09-30,"2009-2010",273,"Prosser",8.6486,16.8099,0.4874,NA
2009-10-01,"2009-2010",274,"Prosser",11.3309,19.4778,3.184,NA
2009-10-02,"2009-2010",275,"Prosser",11.4817,17.971,4.9923,NA
2009-10-03,"2009-2010",276,"Prosser",9.6608,14.5718,4.7498,NA
2009-10-04,"2009-2010",277,"Prosser",13.8551,17.3714,10.3388,NA
2009-10-05,"2009-2010",278,"Prosser",9.7311,17.2478,2.2144,NA
2009-10-06,"2009-2010",279,"Prosser",10.2755,19.9053,0.6456,NA
2009-10-07,"2009-2010",280,"Prosser",12.4945,20.9332,4.0558,NA
