"variety","location","year","Date","jday","t_mean","t_max","t_min","predicted_Hc","observed_Hc","budbreak","predicted_on"
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-07",250,13.9431,21.6606,6.2256,-10.27,NA,NA,"2010-04-24"
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-08",251,14.4125,23.7267,5.0984,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-09",252,17.1296,26.4369,7.8222,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-10",253,18.2443,27.4821,9.0065,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-11",254,19.8557,28.7763,10.935,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-12",255,21.1377,31.5453,10.7301,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-13",256,22.2273,33.0963,11.3583,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-14",257,21.1798,28.5153,13.8443,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-15",258,18.9343,26.9906,10.8781,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-16",259,21.4564,30.6087,12.3041,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-17",260,18.8187,25.7637,11.8737,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-18",261,16.7736,26.9289,6.6183,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-19",262,16.6501,25.445,7.8551,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-20",263,13.7119,22.2443,5.1794,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-21",264,13.9033,24.1965,3.6102,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-22",265,17.2464,27.3927,7.1002,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-23",266,19.7392,29.703,9.7755,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-24",267,21.1153,31.2646,10.9659,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-25",268,19.3975,29.4923,9.3027,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-26",269,18.1091,28.2287,7.9894,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-27",270,14.6846,23.4186,5.9506,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-28",271,13.6476,23.2209,4.0743,-10.27,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-29",272,10.3942,16.9275,3.8609,-10.4642267969925,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-09-30",273,8.6486,16.8099,0.4874,-10.7843278471958,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-01",274,11.3309,19.4778,3.184,-10.9044333729615,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-02",275,11.4817,17.971,4.9923,-11.0127735273967,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-03",276,9.6608,14.5718,4.7498,-11.249232848887,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-04",277,13.8551,17.3714,10.3388,-11.2205173968934,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-05",278,9.7311,17.2478,2.2144,-11.4485945732408,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-06",279,10.2755,19.9053,0.6456,-11.6355731902092,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-07",280,12.4945,20.9332,4.0558,-11.6697911739303,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-08",281,10.6632,17.6326,3.6937,-11.8275715447812,-10.5545,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-09",282,8.7555,12.3027,5.2083,-12.1108026353986,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-10",283,5.6315,9.502,1.761,-12.5920339175092,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-11",284,2.9027,9.2925,-3.487,-13.2271245336733,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-12",285,3.9437,8.651,-0.7636,-13.7679093661831,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-13",286,2.1411,4.25,0.0322,-14.3868988147222,-11.11,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-14",287,10.1792,16.6359,3.7226,-14.5389406584487,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-15",288,10.4722,15.8135,5.131,-14.6732632539553,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-16",289,12.3193,19.0893,5.5493,-14.7089760745219,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-17",290,14.7766,21.6165,7.9368,-14.6287754165637,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-18",291,13.0024,18.2337,7.7712,-14.6286677171117,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-19",292,12.2157,18.3284,6.1029,-14.6699912154048,-11.6655,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-20",293,10.4789,16.6457,4.3121,-14.8023016873188,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-21",294,11.3389,15.6515,7.0264,-14.8883766280065,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-22",295,8.7857,15.2903,2.2811,-15.1049351060846,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-23",296,11.9349,17.7462,6.1236,-15.1585107833704,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-24",297,9.1441,15.9832,2.305,-15.3514312057784,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-25",298,5.6392,11.7831,-0.5048,-15.7125925951544,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-26",299,9.3574,16.4269,2.2878,-15.8847242954696,-12.7765,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-27",300,6.5111,11.954,1.0681,-16.1857596765179,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-28",301,3.3035,9.8224,-3.2153,-16.6209716629672,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-29",302,5.1874,6.7816,3.5933,-16.9545844989868,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-30",303,11.2338,18.9415,3.5262,-17.027051069703,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-10-31",304,11.9157,18.1877,5.6437,-17.0711456588014,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-01",305,7.791,14.0287,1.5533,-17.2818256701463,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-02",306,4.1971,10.5845,-2.1904,-17.6285661353506,-15.55,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-03",307,4.5893,11.1447,-1.9661,-17.9452399037988,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-04",308,5.0767,11.3339,-1.1805,-18.2309854810932,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-05",309,5.8672,12.2245,-0.4901,-18.478006126509,NA,NA,NA
"Cabernet Sauvignon","Prosser","2009-2010","2009-11-06",310,9.1019,11.8872,6.3165,-18.6081771456481,NA,NA,NA
