"","year","supply","ENVFLW","available","state","district","model"
"1","1981",725.132171092393,"145.026434218479",580.105736873915,"Arizona","480","Baseline"
"2","1982",1306.1836818855,"261.236736377099",1044.9469455084,"Arizona","480","Baseline"
"3","1983",2962.2206682447,"592.444133648941",2369.77653459576,"Arizona","480","Baseline"
"4","1984",2020.7212943818,"404.144258876359",1616.57703550544,"Arizona","480","Baseline"
"5","1985",2349.70044995064,"469.940089990127",1879.76035996051,"Arizona","480","Baseline"
"6","1986",1740.03350429345,"348.006700858689",1392.02680343476,"Arizona","480","Baseline"
"7","1987",1269.55379327068,"253.910758654136",1015.64303461655,"Arizona","480","Baseline"
"8","1988",1438.95002900964,"287.790005801928",1151.16002320771,"Arizona","480","Baseline"
"9","1989",540.467340036067,"108.093468007213",432.373872028853,"Arizona","480","Baseline"
"10","1990",806.162224998303,"161.232444999661",644.929779998643,"Arizona","480","Baseline"
"11","1991",1371.68033688571,"274.336067377142",1097.34426950857,"Arizona","480","Baseline"
"12","1992",2077.34296091839,"415.468592183678",1661.87436873471,"Arizona","480","Baseline"
"13","1993",3396.30129396339,"679.260258792678",2717.04103517071,"Arizona","480","Baseline"
"14","1994",830.145466700708,"166.029093340142",664.116373360566,"Arizona","480","Baseline"
"15","1995",1861.92231197597,"372.384462395194",1489.53784958078,"Arizona","480","Baseline"
"16","1996",806.838436722766,"161.367687344553",645.470749378212,"Arizona","480","Baseline"
"17","1997",1261.23897983732,"252.247795967464",1008.99118386986,"Arizona","480","Baseline"
"18","1998",1585.0932082953,"317.018641659059",1268.07456663624,"Arizona","480","Baseline"
"19","1999",1275.47479115433,"255.094958230866",1020.37983292346,"Arizona","480","Baseline"
"20","2000",948.612053273642,"189.722410654728",758.889642618913,"Arizona","480","Baseline"
"21","2001",821.358972621155,"164.271794524231",657.087178096924,"Arizona","480","Baseline"
"22","2002",339.691524583836,"67.9383049167671",271.753219667068,"Arizona","480","Baseline"
"23","2003",656.843810971095,"131.368762194219",525.475048776876,"Arizona","480","Baseline"
"24","2004",683.905142645741,"136.781028529148",547.124114116593,"Arizona","480","Baseline"
"25","2005",1677.34551435211,"335.469102870422",1341.87641148169,"Arizona","480","Baseline"
"26","2006",879.121718479203,"175.824343695841",703.297374783362,"Arizona","480","Baseline"
"27","2007",695.838629948694,"139.167725989739",556.670903958956,"Arizona","480","Baseline"
"28","2008",1259.68771216805,"251.937542433611",1007.75016973444,"Arizona","480","Baseline"
"29","2009",730.597295510413,"146.119459102083",584.47783640833,"Arizona","480","Baseline"
"30","2010",1109.91002131555,"221.98200426311",887.928017052438,"Arizona","480","Baseline"
"31","2021",9782.88108657741,"1956.57621731548",7826.30486926193,"Arizona","480","Future1"
"32","2022",11020.2101431077,"2204.04202862154",8816.16811448615,"Arizona","480","Future1"
"33","2023",12027.1861814291,"2405.43723628582",9621.74894514329,"Arizona","480","Future1"
"34","2024",10903.7942336781,"2180.75884673561",8723.03538694245,"Arizona","480","Future1"
"35","2025",11288.2509881327,"2257.65019762653",9030.60079050614,"Arizona","480","Future1"
"36","2026",17384.8798663699,"3476.97597327399",13907.9038930959,"Arizona","480","Future1"
"37","2027",15016.4418344812,"3003.28836689625",12013.153467585,"Arizona","480","Future1"
"38","2028",14563.3044994016,"2912.66089988032",11650.6435995213,"Arizona","480","Future1"
