"Crop_Type","Category"
"artichoke","Annual"
"barley","Annual"
"barley hay","Annual"
"bean seed","Annual"
"bean, dry","Annual"
"bean, garbanzo","Annual"
"bean, green","Annual"
"beet","Annual"
"beet seed","Annual"
"bluegrass seed",""
"broccoli","Annual"
"broccoli seed","Annual"
"bromegrass seed",""
"brussels sprouts","Annual"
"brussels sprouts seed","Annual"
"buckwheat","Annual"
"cabbage","Annual"
"cabbage seed","Annual"
"camelina","Annual"
"caneberry",""
"canola","Annual"
"cantaloupe","Annual"
"carrot","Annual"
"carrot seed","Annual"
"cauliflower","Annual"
"cereal grain, unknown","Annual"
"chestnut",""
"chickpea",""
"cilantro seed","Annual"
"clover hay",""
"clover seed",""
"clover/grass hay",""
"corn seed","Annual"
"corn, field","Annual"
"corn, sweet","Annual"
"corn, unknown","Annual"
"cranberry",""
"cucumber","Annual"
"currant",""
"dill",""
"fescue seed",""
"flax",""
"flax seed","Annual"
"garlic","Annual"
"grass seed",""
"grass seed, other",""
"green manure",""
"hemp","Annual"
"herb, medicinal","Annual"
"herb, unknown","Annual"
"kale","Annual"
"leek",""
"legume cover",""
"lentil","Annual"
"lettuce","Annual"
"medicinal herb","Annual"
"melon, unknown","Annual"
"misc. grass seed","Annual"
"mustard","Annual"
"mustard seed","Annual"
"oat","Annual"
"oat hay","Annual"
"onion","Annual"
"onion seed","Annual"
"parsley","Annual"
"pea seed","Annual"
"pea, dry","Annual"
"pea, green","Annual"
"pea/vetch","Annual"
"pepper","Annual"
"potato","Annual"
"potato seed","Annual"
"pumpkin","Annual"
"quinoa","Annual"
"radish","Annual"
"radish seed","Annual"
"rhubarb",""
"rosemary",""
"rutabaga",""
"rye","Annual"
"rye hay","Annual"
"ryegrass seed","Annual"
"safflower seed","Annual"
"seed, other","Annual"
"seed, unknown","Annual"
"sorghum","Annual"
"soybean","Annual"
"spinach","Annual"
"spinach seed","Annual"
"squash","Annual"
"sudangrass","Annual"
"sugar beet","Annual"
"sugar beet seed","Annual"
"sunflower","Annual"
"sunflower seed","Annual"
"swiss chard seed","Annual"
"tarragon","Annual"
"tea",""
"tobacco",""
"tomato","Annual"
"triticale","Annual"
"triticale hay","Annual"
"vegetable, unknown","Annual"
"watermelon","Annual"
"wheat","Annual"
"wheat fallow","Annual"
"yellow mustard",""
"yew",""
