"county","acreage_per_county","shapeFileYear"
"Adams",125.156305072693,"2015_not_corrected"
"Benton",5024.43912295264,"2015_not_corrected"
"Franklin",2963.43833308564,"2015_not_corrected"
"Grant",2880.82869891577,"2015_not_corrected"
"Klickitat",323.930239693095,"2015_not_corrected"
"Lewis",107.271630812937,"2015_not_corrected"
"Skagit",27.928133588888,"2015_not_corrected"
"Walla Walla",3805.07097078112,"2015_not_corrected"
"Whitman",14.0868231711983,"2015_not_corrected"
"Yakima",562.18481683033,"2015_not_corrected"
"Adams",3751.63717423912,"2016_not_corrected"
"Benton",8653.47086098675,"2016_not_corrected"
"Franklin",5220.5850233997,"2016_not_corrected"
"Grant",10055.1208543297,"2016_not_corrected"
"Klickitat",335.472917092875,"2016_not_corrected"
"Lewis",107.271630812937,"2016_not_corrected"
"Skagit",27.9281353994494,"2016_not_corrected"
"Spokane",1.7182231065605,"2016_not_corrected"
"Walla Walla",3805.07097156968,"2016_not_corrected"
"Whitman",14.9906690414443,"2016_not_corrected"
"Yakima",562.18481683033,"2016_not_corrected"
"Adams",3808.02302540562,"2018_not_corrected"
"Benton",8649.66055845442,"2018_not_corrected"
"Clark",22.8275487725247,"2018_not_corrected"
"Columbia",1.8200820942993,"2018_not_corrected"
"Franklin",7657.86402694188,"2018_not_corrected"
"Grant",21126.8151333362,"2018_not_corrected"
"Klickitat",335.472917092875,"2018_not_corrected"
"Lewis",107.271630812937,"2018_not_corrected"
"Skagit",36.4169369540877,"2018_not_corrected"
"Spokane",1.7182231065605,"2018_not_corrected"
"Walla Walla",3757.95863083873,"2018_not_corrected"
"Whitman",14.9906690414443,"2018_not_corrected"
"Yakima",309.142288470408,"2018_not_corrected"
