Date,ColonCol Size,y  AdultDrones,AdultWkr,Forgr,Drones Brood,WkrBrood,DronLarv,e  WkrLarv,DroneEggs,WkrEggs,ColonyPollen,ColonyNectar
1/1/01,8605,0,5775,2581,285,9385,2048,9666,667,3334,0,0
1/2/01,9210,0,6132,2763,570,10770,2096,9332,334,1668,0,0
1/3/01,9815,0,6489,2944,855,12155,2145,9000,0,0,0,0
1/4/01,10420,0,6846,3126,1140,13540,1860,7000,0,0,0,0
1/5/01,11024,0,7203,3307,1425,14925,1575,5000,0,0,0,0
1/6/01,11628,0,7560,3488,1710,15976,1290,3334,0,0,0,0
1/7/01,12232,0,7917,3669,2000,17027,1000,1668,0,0,0,0
1/8/01,12836,0,8274,3850,2333,18080,667,0,0,0,0,0
1/9/01,13440,0,8631,4032,2666,17465,334,0,0,0,0,0
1/10/01,14044,0,8988,4213,3000,16850,0,0,0,0,0,0
1/11/01,14647,0,9345,4394,3000,16235,0,0,0,0,0,0
1/12/01,15250,0,9702,4575,3000,15620,0,0,0,0,0,0
1/13/01,15858,0,10064,4757,3000,15000,0,0,0,0,0,0
1/14/01,17846,0,11806,5353,3000,13000,0,0,0,0,0,0
1/15/01,20119,285,13548,6035,2715,11000,0,0,0,0,0,0
1/16/01,22392,570,15290,6532,2430,9000,0,0,0,0,0,0
1/17/01,24664,855,17032,6777,2145,7000,0,0,0,0,0,0
1/18/01,26936,1140,18774,7022,1860,5000,0,0,0,0,0,0
1/19/01,28874,1425,20182,7267,1575,3334,0,0,0,0,0,0
1/20/01,30812,1710,21590,7512,1290,1668,0,0,0,0,0,0
1/21/01,32757,2000,23000,7757,1000,0,0,0,0,0,0,0
1/22/01,33076,2333,22385,8358,667,0,0,0,0,0,0,0
1/23/01,33395,2666,21770,8959,334,0,0,0,0,0,0,0
1/24/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/25/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/26/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/27/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/28/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/29/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/30/01,33395,2666,21770,8959,0,0,0,0,0,0,0,0
1/31/01,33146,2666,21155,9325,0,0,0,0,0,0,0,1325.4
2/1/01,32898,2666,20540,9692,0,0,0,0,0,0,0,2711.6
2/2/01,32898,2666,20540,9692,0,0,0,0,0,0,0,2524.6
2/3/01,32898,2666,20540,9692,0,0,0,0,0,0,0,2337.3
2/4/01,32898,2666,20540,9692,0,0,0,0,0,0,0,2150.3
2/5/01,32898,2666,20540,9692,0,0,0,0,0,0,0,1963.1
2/6/01,32651,2666,19925,9795,0,0,0,0,0,0,0,3367.1
2/7/01,32405,2666,19310,9721,0,0,0,0,0,15,0,4760.2
2/8/01,32405,2666,19310,9721,0,0,0,0,0,49,0,4575
2/9/01,32160,2666,18695,9648,0,0,0,0,0,88,0,5957.4
2/10/01,32146,2666,18080,9643,0,0,0,15,0,128,0,5773.3
2/11/01,31903,2666,17465,9570,0,0,0,49,0,176,650.2,5708.7
2/12/01,31661,2666,16850,9498,0,0,0,88,0,239,1294.9,5644.3
2/13/01,31420,2666,16235,9426,0,0,0,143,0,289,1933.9,5580.1
2/14/01,31180,2666,15620,9354,0,0,0,225,0,348,2567.3,5516.1
2/15/01,31166,2666,15000,9349,0,15,0,312,0,393,2478.2,5336.1
2/16/01,24366,2666,13000,7309,0,49,0,383,0,474,2975.7,5278.6
2/17/01,24069,2381,11000,7220,0,88,0,485,0,525,2906.7,5129.5
2/18/01,23169,2096,9000,6950,0,143,0,577,0,587,3373.4,5073.4
2/19/01,22870,1811,7000,6861,0,225,0,681,0,644,3300.3,4929.7
