Varroa Population Simulation - Aug 13,2019  11:42:04 AM
VarroaPop Version 3.2.8.16 September 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
Initial      8000      0   5418   2400      0   8000   2000  10000   1000   5000      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    0.000  0.000
01/01/2002   8605      0   5775   2581    285   9385   2048   9666    667   3334      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    1.550  0.000
01/02/2002   9210      0   6132   2763    570  10770   2096   9332    334   1668      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    0.955  0.275
01/03/2002   9815      0   6489   2944    855  12155   2145   9000      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    0.110  1.875
01/04/2002  10420      0   6846   3126   1140  13540   1860   7000      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    2.470  0.000
01/05/2002  11024      0   7203   3307   1425  14925   1575   5000      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    2.620  5.075
01/06/2002  11628      0   7560   3488   1710  15976   1290   3334      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    2.715  2.975
01/07/2002  12232      0   7917   3669   2000  17027   1000   1668      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    6.570  0.000
01/08/2002  12836      0   8274   3850   2333  18080    667      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    5.320  0.000
01/09/2002  13440      0   8631   4032   2666  17465    334      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    5.605  0.025
01/10/2002  14044      0   8988   4213   3000  16850      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    4.395  0.000
01/11/2002  14647      0   9345   4394   3000  16235      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    2.940  0.000
01/12/2002  15250      0   9702   4575   3000  15620      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    3.925  0.000
01/13/2002  15858      0  10064   4757   3000  15000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    3.800  0.000
01/14/2002  17846      0  11806   5353   3000  13000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    4.075  0.000
01/15/2002  20119    285  13548   6035   2715  11000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    3.945  1.850
01/16/2002  22392    570  15290   6532   2430   9000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    4.265  0.000
01/17/2002  24664    855  17032   6777   2145   7000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    8.955  3.800
01/18/2002  26936   1140  18774   7022   1860   5000      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    5.775  0.500
01/19/2002  28874   1425  20182   7267   1575   3334      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    6.250  2.175
01/20/2002  30812   1710  21590   7512   1290   1668      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    6.590  3.550
01/21/2002  32757   2000  23000   7757   1000      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    3.720  0.400
01/22/2002  33076   2333  22385   8358    667      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      5.000    4.925  0.000
01/23/2002  33159   2666  21770   8723    334      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 1227.5  0.000      0      0      0      0      0      5.000    9.855  0.000
01/24/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 5234.6  0.000      0      0      0      0      0      5.000    6.675  0.000
01/25/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 5045.9  0.000      0      0      0      0      0      5.000    5.655  0.000
01/26/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 4857.3  0.000      0      0      0      0      0      5.000    5.705  1.325
01/27/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 4668.6  0.000      0      0      0      0      0      5.000    5.880  7.775
01/28/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 4479.9  0.000      0      0      0      0      0      5.000    6.940  3.275
01/29/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 4291.2  0.000      0      0      0      0      0      5.000    5.610  0.000
01/30/2002  33479   3000  21155   9324      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 4102.6  0.000      0      0      0      0      0      5.000    6.100  0.000
01/31/2002  32997   3000  20540   9457      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 5450.1  0.000      0      0      0      0      0      5.000   13.205  0.000
02/01/2002  32750   3000  19925   9825      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 6858.6  0.000      0      0      0      0      0      5.000   14.680  0.000
02/02/2002  32504   3000  19310   9751      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 8256.1  0.000      0      0      0      0      0      5.000   13.305  0.000
