st_crd,totalAcres15,IrrTotalWith15,totalAcres10,IrrTotalWith10
0110,40.2,28.04,30.72,27.29
0120,10.29,16.81,16.47,14.6
0130,25.27,30.12,20.36,17.259999999999998
0140,28.94,33.06,17.5,14.01
0150,30.31,73.83,23.56,53.92
0160,54.38,40.75,42.94,31.82
0210,1.06,0.47,1,0.35
0220,1.79,0.95,1.79,1.06
0230,0.11,0.06,0.24,0.13
0240,NA,NA,NA,NA
0250,NA,NA,0,0
0410,35.86,158.68,32.31,129.29
0480,1003.36,4370.2,960.85,4440.08
0510,0.09,0.03,0.43,0.31
0520,0.12,0.27999999999999997,0.15,0.2
0530,1424,3957.23,1650.85,3384.45
0540,3.95,3.75,5.43,3.7
0550,34.56,67.4,34.87,50.050000000000004
0560,2105.64,5749.83,2122.85,3882.12
0570,19.31,47.23,29.8,43.15
0580,1.81,5.37,3.46,8.79
0590,838.58,1735.25,824.25,1346.96
0610,82.83,145.09,75.21,113.82
0620,242.20000000000002,373.17,259.54,536.23
0630,315.47999999999996,362.95000000000005,279.94,540.28
0640,700.91,829.5,855.65,1141.12
0650,1848.3200000000002,4737.88,1842.34,4654.28
0651,4877.110000000001,9235.15,5676.45,13184.29
0660,160.89,367.93,181.63,534.86
0680,1095.92,2931.29,1180.57,2351.61
0810,364.68,1937.72,369.89,2096.47
0820,638.44,952.21,830.66,1326.82
0860,570.1899999999999,716.9399999999999,621.51,728.54
0870,539.9,2719.66,524.38,2816.02
0880,523.1899999999999,1453.78,530.22,1513.38
0890,400.53,1219.33,462.93,1233.48
0910,18.25,11.309999999999999,25.82,23.96
1020,3.94,2.18,4.26,3.7
1050,37.04,28.03,36.5,27.22
1080,87.29,82.7,92.25,70.41
1210,55.42,57.339999999999996,61.04,64.89
1230,87.15,85.77,49.31,71.03
1250,409.35,415.76,411.85,588.59
1280,1473.26,1888.42,1469.1200000000001,2195.33
1310,8.12,6.58,8.34,9.13
1320,13.82,19.05,15.879999999999999,25.37
1330,3.3600000000000003,4.21,4.78,6
1340,40.660000000000004,21.38,71.37,34.27
1350,125.51,53.88,111.14999999999999,76.44
1360,130.46,65.47,108.79,31.49
1370,600.8,362.84,624.4399999999999,482.49
1380,434.11,167.22,404.51,145.6
1390,89.04,37.54,82.27,28
1511,39.1,26.66,86.03,23.63
1524,20.34,25.85,13.47,41.44
1535,48.91,248.81,47.59,184.82
1562,26.71,83.74,22.32,73.57
1610,213.59,743.74,62.93,161.69
1670,629.25,3333.62,664.23,3407.62
1680,1224.26,4835.55,1139.73,4521.28
1690,1721.7,6380.0199999999995,1735.79,5949.4
1710,152.98,36.93,112.89,35.870000000000005
1720,27.15,21.02,29.83,18.66
1730,30.619999999999997,3.85,24.040000000000003,4.92
1740,211.36,92.41,160.35999999999999,76.39
1750,44.54,13.03,25.91,12.32
1760,30.88,12.430000000000001,27.139999999999997,6.819999999999999
1770,46.57,23.96,32.85,15.43
1780,11.9,6.1000000000000005,8.49,5.37
1790,68.62,23.81,61.72,49.98
1810,155.01,56.89,139.4,53.01
1820,116.51,33.01,109.77,36.88
1830,47.36,12.540000000000001,37.699999999999996,20.82
1840,15.07,3.42,19.36,3.26
1850,33.26,8.75,22.28,8.16
1860,2.87,1.04,2.07,0.3
1870,73.33,14.409999999999998,61.510000000000005,12.82
1880,4.1,2.52,3.53,1.7
1890,1.62,0.48,1.49,0.18000000000000002
1910,29.150000000000002,7.9,23.22,6.02
1920,11.23,2.37,6.17,1.36
1930,6.17,1.17,3.64,0.74
1940,77.81,11.34,116.83999999999999,23.56
1950,3.67,1.04,5.5600000000000005,1.48
1960,11.78,4.34,9.69,3.74
1970,8.790000000000001,1.6300000000000001,9.38,1.27
1980,1.21,0.32,0.82,0.2
1990,15.02,4.8999999999999995,11.9,4.45
2010,410.33,346.5,390.42,333.45
2020,233.82999999999998,162.83,245.23000000000002,193.21
2030,1482.67,1423.03,1499.91,1730.2
2040,187.97,108.68,171.29,129.35999999999999
2050,127.06,95.51,119.44999999999999,88.88
2060,588.37,519.39,567.3100000000001,538.85
2070,43.99,10.02,33.79,8.96
2080,36.64,9.23,39.38,14.030000000000001
2090,11.74,3.76,11.23,4.06
2110,21.31,9.61,20.02,7.88
2120,32.55,14.56,18.51,7.11
2130,7.66,6.12,5.94,4.33
2140,3.98,1.89,4.17,2.05
2150,10.76,5.85,9.45,6.59
2160,3.0300000000000002,1.52,2.23,1.07
2210,21.84,8.93,17.59,9.89
2220,21,21.32,21.23,19.22
2230,355.34,226.51,344.6,245.2
2240,16.82,12.16,15.07,10.66
2250,266.44,258.07,256.26,208.10999999999999
2260,3.1,1.54,1.35,1.93
2270,263.8,501.84,252.45,415.15
2280,19.26,20.740000000000002,16.95,17.38
2290,4.01,1.72,0.73,0.4
2310,11.71,4.03,10.34,2.98
2320,21.12,10.47,29.58,5.68
2330,8.06,4.39,7.92,2.62
2410,0.37,0.08,1.5,0.49
2420,13.57,7.99,14.28,8.9
2430,61.18,31.52,48.25,30.46
2480,6.010000000000001,2.16,7.75,4.2
2490,38.93,22.34,33.16,28.03
2510,40.5,138.57999999999998,40.29,139.24
2610,3.58,2.34,2.6,1.66
2620,34.22,26.27,16.95,13.26
2630,4.9,4.29,5.5200000000000005,8.229999999999999
2640,32.1,14.870000000000001,26.599999999999998,7.49
2650,96.54,63.21,66.98,32.81
2660,17.93,9.43,16.88,7.68
2670,196.4,104.8,152.47,77.24000000000001
2680,181.06,92.05,181.04,44.300000000000004
2690,30.9,14.74,36.96,16.57
2710,45.870000000000005,26.25,33.42,16.63
2720,39.28,20.4,32.71,14.75
2730,1.01,0.31,1.32,0.66
2740,234.60999999999999,96.96,183.69,53.96
2750,232.76,87.48,183.87,68.4
2760,27.76,15.469999999999999,28.47,20.41
2770,8.48,1.77,6.27,1.6199999999999999
2780,21.9,6.84,11.25,3.54
2790,82.28999999999999,20.650000000000002,59.26,17.47
2810,668.35,731.72,772.53,995.2
2820,58.51,41.96,45.81,53.58
2830,3.53,3.2600000000000002,0.5599999999999999,0.32
2840,809.96,897.28,857.07,971.45
2850,66.52,53.39,58.06,40.470000000000006
2860,26.86,24.93,42.15,22.71
2870,9.1,8.450000000000001,4.7700000000000005,4.47
2880,3.66,3.41,1.94,0.9400000000000001
2890,5.59,5.17,6.87,3.82
2910,43.05,50.15,45.14,27.38
2920,10.74,12.5,10.12,6.06
2930,31.57,36.78,28.3,14.06
2940,16.099999999999998,18.73,18.62,10.12
2950,26.08,30.37,28.14,17.12
2960,10.3,12,14.39,7.3100000000000005
2970,24.87,28.94,36.9,23.47
2980,22.19,25.880000000000003,31.21,43.769999999999996
2990,995.9,1158.26,1093.23,1252.89
3010,459.62,1241.1,267.19,935.97
3020,478.89,1451.55,339.07,1350.4
3030,193.9,829.42,152.73,620.35
3050,302.28000000000003,1324.01,217.35999999999999,1043.62
3070,471.93,2111.9900000000002,303.38,1319.79
3080,418.62,2020.8400000000001,274.52,1476.5
3090,146.53,473.71,85.42,413.81
3110,817.14,562.71,742.29,1058.45
3120,863.94,658.21,607.88,564.29
3130,1168.04,576.01,1110.4,330.91
3150,1512.83,1155.46,1349.88,1039.7
3160,1894.47,899.93,1743.19,802.6800000000001
3170,1051.23,843.9,1059.23,815
3180,1187.53,796.79,1174.66,563.19
3190,1080.09,597.59,947.41,485.90000000000003
3210,376.95,1164.22,321.39,851.89
3230,249.19,683.75,218.4,606.04
3280,71.42,218.13,37.05,115.83
3310,7.55,5.2,5.92,1.92
3420,6.06,7.07,6.2299999999999995,7.42
3450,27.65,37.02,24.35,66.93
3480,81.28,49.85,68.72,63.29
3510,169.68,624.01,205.07,750.55
3530,298.36,565.45,337.76,631.83
3570,74.37,355.01,79.91,379.76
3590,216.22,828.79,255.39,933.76
3620,2.67,1.18,2.2600000000000002,1.12
3630,2.4899999999999998,1.18,2.39,1.24
3640,32.980000000000004,15.03,35.17,21.66
3650,11.13,5.22,11.21,6.73
3660,6.5200000000000005,3.4,6.83,4.2299999999999995
3670,5.1,2.29,5.38,3.8899999999999997
3680,3.58,1.52,3.33,2.05
3690,19.18,11.32,22.15,14.61
3691,17.91,12.38,19.72,14.870000000000001
3710,9.09,24.03,12.23,30.94
3720,17.66,36.96,16.22,38.55
3740,19.17,32.97,29.52,40.82
3750,20.53,36.71,22.37,42.63
3760,18.759999999999998,34.19,16.54,32.04
3770,38.3,37.44,47.19,43.99
3780,36.5,43.79,36.05,43.26
3790,68.29,78.85,87.99,94.7
3810,27.41,21.64,32.81,19.34
3820,19.28,20.639999999999997,20.18,21.61
3830,26.02,10.790000000000001,22.69,9.32
3840,42.69,91.14,27.7,44.169999999999995
3850,38.6,22.560000000000002,33.93,17.43
3860,28.48,7.24,19.95,5.62
3870,2.96,1.62,3.52,1.8900000000000001
3880,20.76,14.37,21.4,19.779999999999998
3890,71.92,42.78,51.86,25.61
3910,8.91,2.37,7.15,2.86
3920,11.39,14.700000000000001,9.48,15.45
3930,15.040000000000001,14.97,16.05,11.3
3940,11.16,9.23,9.18,8.2
3950,11.61,6.76,9.870000000000001,7.74
3960,2.3,0.86,2.52,0.6799999999999999
3970,8.42,5.56,8.28,5.97
3980,2.23,0.23,1.24,0.19
3990,3.55,0.27,2.11,0.19
4010,243.18,545.55,249.09,300.82
4020,33.76,47.7,31.91,26.34
4030,138.93,183.49,126.88000000000001,139.29999999999998
4040,33.88,43.85,31.55,24.38
4050,45.51,53.76,32.160000000000004,25.1
4060,16.7,19.06,19.89,16.13
4070,13.209999999999999,10.82,12.81,8.47
4080,17.48,19.18,18.46,17.72
4090,10.41,7.61,11.31,5.88
4110,547.85,1023.42,315.84000000000003,595.44
4120,125.64999999999999,338.82,193.22,531.89
4130,311.46,860.12,377.43,1084.13
4170,140.2,473.11,91.04,308.36
4180,831.66,2462.06,923.1800000000001,2737.67
4210,4.84,2.18,5.63,1.73
4220,3.02,1.25,3.89,1.09
4230,2.09,0.97,1.06,0.39
4240,5.1899999999999995,2.2800000000000002,7.66,3.02
4250,10.55,4.29,8.85,3.36
4260,8.26,3.57,5.57,2.76
4270,9.25,4.55,8.99,2.48
4280,11.08,4.22,10.12,3.5
4290,23.740000000000002,11.01,16.34,8.81
4410,6.54,4.25,6.1899999999999995,2.69
4510,8.41,2.12,27.35,5.2
4520,3.71,0.87,9.64,1.74
4530,32.95,15.030000000000001,38.05,21.19
4540,16.1,16.78,18.88,14.56
4550,88.32,57.68,36.51,40.45
4580,43.7,33.74,23.12,41.97
4610,4.54,5.89,7.739999999999999,16.959999999999997
4620,40.52,28.64,21.11,48.03
4630,32.58,17.27,23.259999999999998,36.74
4640,4.26,7.46,15.83,25.69
4650,47.19,50.29,14.299999999999999,82.92999999999999
4660,19.75,12.17,23.55,18.01
4670,NA,NA,20.3,39.41
4680,12.65,18.68,16.65,56.06
4690,100.23,58.519999999999996,51.08,38.57
4710,61.46,22.76,26.97,20.8
4720,50.88,18.29,21.16,14.86
4730,5.86,2.41,5.89,4.21
4740,12.32,9.4,14.280000000000001,12.959999999999999
4750,12.14,4.83,14.59,10.48
4760,7.7,6.1499999999999995,8.92,8.57
4811,2456.44,2084.32,2521.88,2449.12
4812,1705.74,1172.91,1782.66,1384.49
4821,187.71,175.51,183.72,215.04
4822,106.56,101.42,110.50999999999999,92.46
4830,48.3,51.65,46.2,61.42
4840,51.01,60.589999999999996,39.17,58.29
4851,23.61,19.28,23.09,24.91
4852,51.059999999999995,70.22,60.82,128.09
4860,130.43,444.14000000000004,138.46,487.93
4870,127.39,140.6,136.02,158.07999999999998
4881,120.26,151.71,138.23,261.34999999999997
4882,14.68,6.4799999999999995,16.349999999999998,8.76
4890,233.03,439.5,218.72,676.1800000000001
4896,134.01999999999998,142.35,145.89000000000001,182.99
4897,272.67,428.60999999999996,362.94,642.77
4910,415.90999999999997,921.16,433,1012.9200000000001
4950,361.52,859.47,370.53,857.51
4960,338.63,798.26,345.05,831.91
4970,182.55,446.43,187.28,517.2
5010,6.8,3.1100000000000003,3.98,2.45
5120,20.95,7.16,23.31,9.75
5140,6.2,2.73,6.58,2.64
5150,NA,NA,20.16,12.81
5160,26.13,20.599999999999998,28.59,21.01
5170,5.65,2.38,6.67,3
5180,10.64,3.5500000000000003,11.84,3.94
5190,17.82,6.3,19.419999999999998,8.24
5310,114.92,112.32,107.14,126.97
5320,539.35,897.1800000000001,531.54,1109.08
5330,21.03,17.86,25.69,27.91
5350,783.38,1386.1,815.4,1747.1100000000001
5390,96.89999999999999,109.72,96.92999999999999,135.84
5420,1.9,1.6800000000000002,1.3800000000000001,0
5440,1.9700000000000002,1.43,1.32,0.03
5460,1.9400000000000002,1.04,0.91,0.06
5510,31.55,11.33,17.09,13.73
5520,13.78,26.34,12.450000000000001,22.82
5530,36.14,21.7,21.22,20.54
5540,88.34,67.82000000000001,89.02,77
5550,258.97,279.96999999999997,196.02,203.52
5560,7.66,5.32,3.64,4.65
5570,33.839999999999996,14.32,24.65,10.81
5580,51.15,23.43,33.61,16.57
5590,12.2,9.5,8.7,9.16
5610,427.1,2498,342.02,1411.06
5620,103.51,578.4,92.62,418.7
5630,300.65999999999997,1617.3,188.70000000000002,588.38
5640,317.28,1665.73,190.26,809.13
5650,287.17,1428.45,268.13,1142.07
