"state_FIPS","district_FIPS","county_FIPS","state_cnt_name","flag","FIPS","CDR_FIPS"
"01","10","033","Colbert","1","01033","0110"
"01","10","059","Franklin","1","01059","0110"
"01","10","077","Lauderdale","1","01077","0110"
"01","10","079","Lawrence","1","01079","0110"
"01","10","083","Limestone","1","01083","0110"
"01","10","089","Madison","1","01089","0110"
"01","10","093","Marion","1","01093","0110"
"01","10","103","Morgan","1","01103","0110"
"01","10","133","Winston","1","01133","0110"
"01","20","009","Blount","1","01009","0120"
"01","20","015","Calhoun","1","01015","0120"
"01","20","019","Cherokee","1","01019","0120"
"01","20","029","Cleburne","1","01029","0120"
"01","20","043","Cullman","1","01043","0120"
"01","20","049","De Kalb","1","01049","0120"
"01","20","055","Etowah","1","01055","0120"
"01","20","071","Jackson","1","01071","0120"
"01","20","095","Marshall","1","01095","0120"
"01","20","115","Saint Clair","1","01115","0120"
"01","30","007","Bibb","1","01007","0130"
"01","30","017","Chambers","1","01017","0130"
"01","30","021","Chilton","1","01021","0130"
"01","30","027","Clay","1","01027","0130"
"01","30","037","Coosa","1","01037","0130"
"01","30","057","Fayette","1","01057","0130"
"01","30","073","Jefferson","1","01073","0130"
"01","30","075","Lamar","1","01075","0130"
"01","30","081","Lee","1","01081","0130"
"01","30","107","Pickens","1","01107","0130"
"01","30","111","Randolph","1","01111","0130"
"01","30","117","Shelby","1","01117","0130"
"01","30","121","Talladega","1","01121","0130"
"01","30","123","Tallapoosa","1","01123","0130"
"01","30","125","Tuscaloosa","1","01125","0130"
"01","30","127","Walker","1","01127","0130"
"01","40","001","Autauga","1","01001","0140"
"01","40","011","Bullock","1","01011","0140"
"01","40","047","Dallas","1","01047","0140"
"01","40","051","Elmore","1","01051","0140"
"01","40","063","Greene","1","01063","0140"
"01","40","065","Hale","1","01065","0140"
"01","40","085","Lowndes","1","01085","0140"
"01","40","087","Macon","1","01087","0140"
"01","40","091","Marengo","1","01091","0140"
"01","40","101","Montgomery","1","01101","0140"
"01","40","105","Perry","1","01105","0140"
"01","40","119","Sumter","1","01119","0140"
"01","50","003","Baldwin","1","01003","0150"
"01","50","013","Butler","1","01013","0150"
"01","50","023","Choctaw","1","01023","0150"
"01","50","025","Clarke","1","01025","0150"
"01","50","035","Conecuh","1","01035","0150"
"01","50","053","Escambia","1","01053","0150"
"01","50","097","Mobile","1","01097","0150"
"01","50","099","Monroe","1","01099","0150"
"01","50","129","Washington","1","01129","0150"
"01","50","131","Wilcox","1","01131","0150"
"01","60","005","Barbour","1","01005","0160"
"01","60","031","Coffee","1","01031","0160"
"01","60","039","Covington","1","01039","0160"
"01","60","041","Crenshaw","1","01041","0160"
"01","60","045","Dale","1","01045","0160"
"01","60","061","Geneva","1","01061","0160"
"01","60","067","Henry","1","01067","0160"
"01","60","069","Houston","1","01069","0160"
"01","60","109","Pike","1","01109","0160"
"01","60","113","Russell","1","01113","0160"
"02","10","090","Fairbanks North Star","1","02090","0210"
"02","10","240","Southeast Fairbanks","1","02240","0210"
"02","10","290","Yukon-Koyukuk","1","02290","0210"
"02","20","020","Anchorage","1","02020","0220"
"02","20","170","Matanuska-Susitna","1","02170","0220"
"02","20","261","Valdez-Cordova","1","02261","0220"
"02","30","122","Kenai Peninsula","1","02122","0230"
"02","40","100","Haines","1","02100","0240"
"02","40","110","Juneau","1","02110","0240"
"02","40","130","Ketchikan Gateway","1","02130","0240"
"02","40","201","Prince of Wales-Outer Ketchikan","1","02201","0240"
"02","40","220","Sitka","1","02220","0240"
"02","40","231","Skagway-Yakutat-Angoon","1","02231","0240"
"02","40","280","Wrangell-Petersburg","1","02280","0240"
"02","50","010","Aleutian Islands","1","02010","0250"
"02","50","013","Aleutians East","1","02013","0250"
"02","50","050","Bethel","1","02050","0250"
"02","50","060","Bristol Bay","1","02060","0250"
"02","50","070","Dillingham","1","02070","0250"
"02","50","150","Kodiak Island","1","02150","0250"
"02","50","180","Nome","1","02180","0250"
"02","50","185","North Slope","1","02185","0250"
"02","50","188","Northeast Arctic","1","02188","0250"
"02","50","270","Wade Hampton","1","02270","0250"
"04","10","001","Apache","1","04001","0410"
"04","10","005","Coconino","1","04005","0410"
"04","10","007","Gila","1","04007","0410"
"04","10","015","Mohave","1","04015","0410"
"04","10","017","Navajo","1","04017","0410"
"04","10","025","Yavapai","1","04025","0410"
"04","80","003","Cochise","1","04003","0480"
"04","80","009","Graham","1","04009","0480"
"04","80","011","Greenlee","1","04011","0480"
"04","80","012","Lapaz","1","04012","0480"
"04","80","013","Maricopa","1","04013","0480"
"04","80","019","Pima","1","04019","0480"
"04","80","021","Pinal","1","04021","0480"
"04","80","023","Santa Cruz","1","04023","0480"
"04","80","027","Yuma","1","04027","0480"
"05","10","007","Benton","1","05007","0510"
"05","10","009","Boone","1","05009","0510"
"05","10","015","Carroll","1","05015","0510"
"05","10","087","Madison","1","05087","0510"
"05","10","101","Newton","1","05101","0510"
"05","10","143","Washington","1","05143","0510"
"05","20","005","Baxter","1","05005","0520"
"05","20","023","Cleburne","1","05023","0520"
"05","20","049","Fulton","1","05049","0520"
"05","20","065","Izard","1","05065","0520"
"05","20","089","Marion","1","05089","0520"
"05","20","129","Searcy","1","05129","0520"
"05","20","135","Sharp","1","05135","0520"
"05","20","137","Stone","1","05137","0520"
"05","20","141","Van Buren","1","05141","0520"
"05","30","021","Clay","1","05021","0530"
"05","30","031","Craighead","1","05031","0530"
"05","30","055","Greene","1","05055","0530"
"05","30","063","Independence","1","05063","0530"
"05","30","067","Jackson","1","05067","0530"
"05","30","075","Lawrence","1","05075","0530"
"05","30","093","Mississippi","1","05093","0530"
"05","30","111","Poinsett","1","05111","0530"
"05","30","121","Randolph","1","05121","0530"
"05","30","145","White","1","05145","0530"
"05","40","033","Crawford","1","05033","0540"
"05","40","047","Franklin","1","05047","0540"
"05","40","071","Johnson","1","05071","0540"
"05","40","083","Logan","1","05083","0540"
"05","40","113","Polk","1","05113","0540"
"05","40","115","Pope","1","05115","0540"
"05","40","127","Scott","1","05127","0540"
"05","40","131","Sebastian","1","05131","0540"
"05","40","149","Yell","1","05149","0540"
"05","50","029","Conway","1","05029","0550"
"05","50","045","Faulkner","1","05045","0550"
"05","50","051","Garland","1","05051","0550"
"05","50","053","Grant","1","05053","0550"
"05","50","059","Hot Spring","1","05059","0550"
"05","50","105","Perry","1","05105","0550"
"05","50","119","Pulaski","1","05119","0550"
"05","50","125","Saline","1","05125","0550"
"05","60","001","Arkansas","1","05001","0560"
"05","60","035","Crittenden","1","05035","0560"
"05","60","037","Cross","1","05037","0560"
"05","60","077","Lee","1","05077","0560"
"05","60","085","Lonoke","1","05085","0560"
"05","60","095","Monroe","1","05095","0560"
"05","60","107","Phillips","1","05107","0560"
"05","60","117","Prairie","1","05117","0560"
"05","60","123","Saint Francis","1","05123","0560"
"05","60","147","Woodruff","1","05147","0560"
"05","70","057","Hempstead","1","05057","0570"
"05","70","061","Howard","1","05061","0570"
"05","70","073","Lafayette","1","05073","0570"
"05","70","081","Little River","1","05081","0570"
"05","70","091","Miller","1","05091","0570"
"05","70","097","Montgomery","1","05097","0570"
"05","70","109","Pike","1","05109","0570"
"05","70","133","Sevier","1","05133","0570"
"05","80","011","Bradley","1","05011","0580"
"05","80","013","Calhoun","1","05013","0580"
"05","80","019","Clark","1","05019","0580"
"05","80","025","Cleveland","1","05025","0580"
"05","80","027","Columbia","1","05027","0580"
"05","80","039","Dallas","1","05039","0580"
"05","80","099","Nevada","1","05099","0580"
"05","80","103","Ouachita","1","05103","0580"
"05","80","139","Union","1","05139","0580"
"05","90","003","Ashley","1","05003","0590"
"05","90","017","Chicot","1","05017","0590"
"05","90","041","Desha","1","05041","0590"
"05","90","043","Drew","1","05043","0590"
"05","90","069","Jefferson","1","05069","0590"
"05","90","079","Lincoln","1","05079","0590"
"06","10","015","Del Norte","1","06015","0610"
"06","10","023","Humboldt","1","06023","0610"
"06","10","045","Mendocino","1","06045","0610"
"06","20","089","Shasta","1","06089","0620"
"06","20","093","Siskiyou","1","06093","0620"
"06","20","105","Trinity","1","06105","0620"
"06","30","035","Lassen","1","06035","0630"
"06","30","049","Modoc","1","06049","0630"
"06","30","063","Plumas","1","06063","0630"
"06","40","001","Alameda","1","06001","0640"
"06","40","013","Contra Costa","1","06013","0640"
"06","40","033","Lake","1","06033","0640"
"06","40","041","Marin","1","06041","0640"
"06","40","053","Monterey","1","06053","0640"
"06","40","055","Napa","1","06055","0640"
"06","40","069","San Benito","1","06069","0640"
"06","40","075","San Francisco","1","06075","0640"
"06","40","079","San Luis Obispo","1","06079","0640"
"06","40","081","San Mateo","1","06081","0640"
"06","40","085","Santa Clara","1","06085","0640"
"06","40","087","Santa Cruz","1","06087","0640"
"06","40","097","Sonoma","1","06097","0640"
"06","50","007","Butte","1","06007","0650"
"06","50","011","Colusa","1","06011","0650"
"06","50","021","Glenn","1","06021","0650"
"06","50","067","Sacramento","1","06067","0650"
"06","50","095","Solano","1","06095","0650"
"06","50","101","Sutter","1","06101","0650"
"06","50","103","Tehama","1","06103","0650"
"06","50","113","Yolo","1","06113","0650"
"06","50","115","Yuba","1","06115","0650"
"06","51","019","Fresno","1","06019","0651"
"06","51","029","Kern","1","06029","0651"
"06","51","031","Kings","1","06031","0651"
"06","51","039","Madera","1","06039","0651"
"06","51","047","Merced","1","06047","0651"
"06","51","077","San Joaquin","1","06077","0651"
"06","51","099","Stanislaus","1","06099","0651"
"06","51","107","Tulare","1","06107","0651"
"06","60","003","Alpine","1","06003","0660"
"06","60","005","Amador","1","06005","0660"
"06","60","009","Calaveras","1","06009","0660"
"06","60","017","El Dorado","1","06017","0660"
"06","60","027","Inyo","1","06027","0660"
"06","60","043","Mariposa","1","06043","0660"
"06","60","051","Mono","1","06051","0660"
"06","60","057","Nevada","1","06057","0660"
"06","60","061","Placer","1","06061","0660"
"06","60","091","Sierra","1","06091","0660"
