"model"	"FPU"	"year"	"location"
"1"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0939413494128864	2005	"ALK"
"2"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0938078025541412	2006	"ALK"
"3"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0936808453414138	2007	"ALK"
"4"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0935526834619783	2008	"ALK"
"5"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0934270064986285	2009	"ALK"
"6"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0932862918307216	2010	"ALK"
"7"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0932274366010737	2011	"ALK"
"8"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0931861440281638	2012	"ALK"
"9"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0931553118599055	2013	"ALK"
"10"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0931112526520818	2014	"ALK"
"11"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0930822152101144	2015	"ALK"
"12"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0930533433287302	2016	"ALK"
"13"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0930229346579275	2017	"ALK"
"14"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0929914480112128	2018	"ALK"
"15"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0929607720194827	2019	"ALK"
"16"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0929326223838245	2020	"ALK"
"17"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.092916837353883	2021	"ALK"
"18"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0929003322185064	2022	"ALK"
"19"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0928821109954235	2023	"ALK"
"20"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0928569247481984	2024	"ALK"
"21"	"'SSP2-RCP8p5-NoCo2-GFDL2'"	0.0928248601374078	2025	"ALK"
